study_name,DV_variable,DV_min,DV_max
Preferences for redistribution,Trust,1,3
Privacy,PPV,1,7
Promiscuous donors,rating_1_1,1,7
Promiscuous donors,rating_2_1,1,7
Promiscuous donors,rating_3_1,1,7
Promiscuous donors,rating_4_1,1,7
Promiscuous donors,rating_5_1,1,7
Promiscuous donors,rating_6_1,1,7
Promiscuous donors,rating_7_1,1,7
Promiscuous donors,rating_8_1,1,7
Promiscuous donors,rating_9_1,1,7
Promiscuous donors,rating_10_1,1,7
quantitative intuition,Q_indiv_mean,1,5
quantitative intuition,I_indiv_mean,1,5
quantitative intuition,Q_org_mean,1,5
quantitative intuition,I_org_mean,1,5
quantitative intuition,scenario_close_QI,0,1
quantitative intuition,scenario_open_QI,0,1
recommendation systems,usage_TikTok,1,5
recommendation systems,usage_Netflix,1,5
recommendation systems,algo_knowledge_TikTok,0,1
recommendation systems,algo_knowledge_Netflix,0,1
recommendation systems,strategization_type1_TikTok,0,1
recommendation systems,strategization_type1_Netflix,0,1
recommendation systems,strategization_type2_TikTok,0,1
recommendation systems,strategization_type2_Netflix,0,1
recommendation systems,pref_control_TikTok,0,6
recommendation systems,pref_control_Netflix,0,6
Story Beliefs,Achap1_val,1,5
Story Beliefs,Achap1_aro,1,5
Story Beliefs,Achap2_val,1,5
Story Beliefs,Achap2_aro,1,5
Story Beliefs,Bchap1_val,1,5
Story Beliefs,Bchap1_aro,1,5
Story Beliefs,Bchap2_val,1,5
Story Beliefs,Bchap2_aro,1,5
Targeting fairness,fair1,1,9
