StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,t_intro _First Click,t_intro _Last Click,t_intro _Page Submit,t_intro _Click Count,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,t_OPTOUT_Green_First Click,t_OPTOUT_Green_Last Click,t_OPTOUT_Green_Page Submit,t_OPTOUT_Green_Click Count,OPTOUT_Green,t_OPTIN_Green_First Click,t_OPTIN_Green_Last Click,t_OPTIN_Green_Page Submit,t_OPTIN_Green_Click Count,OPTIN_Green,t_OPTIN_Organ_First Click,t_OPTIN_Organ_Last Click,t_OPTIN_Organ_Page Submit,t_OPTIN_Organ_Click Count,OPTIN_Organ,t_OPTOUT_Organ_First Click,t_OPTOUT_Organ_Last Click,t_OPTOUT_Organ_Page Submit,t_OPTOUT_Organ_Click Count,OPTOUT_Organ,FL_344_DO_FL_345,FL_344_DO_FL_348,FL_212_DO_OPTOUT_Green,FL_212_DO_OPTIN_Green,FL_338_DO_OPTIN_Organ,FL_338_DO_OPTOUT_Organ,FL_353_DO_OPTIN_Organ,FL_353_DO_OPTOUT_Organ,FL_349_DO_OPTOUT_Green,FL_349_DO_OPTIN_Green,,TWIN_ID
5/30/2025 9:24,5/30/2025 9:25,100,65,1,5/30/2025 9:25,1,,0,0,,,0,0,6.058,0,Firefox,139,Windows NT 10.0,1120x630,24.708,24.708,26.453,1,1,,,,,,12.961,12.961,18.659,1,1,,,,,,1,,1,,1,,,,,,,17
5/30/2025 10:02,5/30/2025 10:03,100,84,1,5/30/2025 10:03,0.8999999761581421,,0,0,,,0,0,5.428,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,38.704,38.704,40.56,1,1,,,,,,22.112,22.112,22.981,1,2,,,,,,1,,1,,1,,,,,,,18
5/30/2025 9:17,5/30/2025 9:20,100,178,1,5/30/2025 9:20,1,,0,50,,,0,0,8.692,0,Chrome,136.0.0.0,Windows NT 10.0,1366x768,78.836,80.907,81.927,2,2,,,,,,66.661,66.661,67.734,1,2,,,,,,,1,,,,,1,,1,,,21
5/30/2025 9:28,5/30/2025 9:30,100,136,1,5/30/2025 9:30,0.8999999761581421,,0,0,,,1.087,1.087,10.483,1,Safari,16.2,Macintosh,1792x1120,79.264,79.264,80.924,1,1,,,,,,,,,,,23.19,23.19,26.201,1,1,1,,1,,,1,,,,,,22
5/30/2025 9:26,5/30/2025 9:27,100,58,1,5/30/2025 9:27,1,,0,0,,,0,0,3.823,0,Chrome,136.0.0.0,Windows NT 10.0,1366x768,19.788,19.788,20.724,1,2,,,,,,,,,,,9.285,15.319,16.659,2,2,,1,,,,,,1,1,,,23
5/30/2025 12:53,5/30/2025 12:55,100,155,1,5/30/2025 12:55,0.5,,0,0,,,2.074,3.07,3.971,2,Chrome,137.0.0.0,Windows NT 10.0,1366x768,,,,,,1.427,22.088,24.33,3,1,,,,,,22.405,25.43,28.046,3,2,1,,,1,,1,,,,,,24
5/30/2025 9:14,5/30/2025 9:15,100,102,1,5/30/2025 9:15,1,,0,0,,,0,0,9.542,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,42.718,42.718,44.434,1,2,,,,,,29.643,29.643,32.871,1,1,,,,,,1,,1,,1,,,,,,,25
5/30/2025 9:44,5/30/2025 9:45,100,85,1,5/30/2025 9:45,1,,0,0,,,0,0,4.723,0,Firefox,138,Ubuntu,1920x1080,11.024,40.089,45.886,2,2,,,,,,,,,,,8.962,20.11,21.374,2,1,1,,1,,,1,,,,,,29
5/30/2025 9:20,5/30/2025 9:21,100,62,1,5/30/2025 9:22,1,,0,0,,,0,0,13.988,0,Chrome,136.0.0.0,Windows NT 10.0,1536x864,,,,,,20.206,20.206,24.364,1,1,,,,,,10.388,10.388,11.72,1,2,1,,,1,,1,,,,,,35
5/30/2025 9:30,5/30/2025 9:32,100,127,1,5/30/2025 9:32,1,,0,0,,,0,0,25.726,0,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1536x864,37.645,37.645,46.773,1,2,,,,,,22.179,22.179,33.397,1,1,,,,,,1,,1,,1,,,,,,,39
5/30/2025 9:36,5/30/2025 9:37,100,91,1,5/30/2025 9:37,1,,0,20,,,0,0,4.631,0,Chrome,136.0.0.0,Windows NT 10.0,2560x1080,,,,,,33.474,33.474,37.201,1,1,0.425,0.425,39.062,1,1,,,,,,,1,,,,,1,,,1,,40
5/30/2025 10:50,5/30/2025 10:51,100,53,1,5/30/2025 10:51,1,,0,0,,,2.461,2.461,3.361,1,Chrome,136.0.0.0,Windows NT 10.0,1536x864,4.011,5.34,6.19,3,2,,,,,,16.993,25.992,26.878,2,1,,,,,,1,,1,,1,,,,,,,43
5/30/2025 10:03,5/30/2025 10:04,100,65,1,5/30/2025 10:04,1,,0,0,,,0,0,3.081,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,,,,,,30.231,30.231,32.35,1,2,,,,,,10.646,10.646,23.102,1,2,1,,,1,,1,,,,,,44
5/30/2025 9:14,5/30/2025 9:15,100,72,1,5/30/2025 9:15,1,,0,0,,,0,0,8.373,0,Firefox,138,Windows NT 10.0,1227x690,,,,,,26.818,27.306,28.49,2,1,,,,,,15.561,15.561,16.903,1,2,,1,,,,,,1,,1,,45
5/30/2025 9:40,5/30/2025 9:41,100,106,1,5/30/2025 9:41,0.8999999761581421,,0,5,,,0,0,10.815,0,Firefox,138,Windows NT 10.0,2048x1152,26.109,26.109,26.904,1,2,,,,,,,,,,,15.979,15.979,25.617,1,1,,1,,,,,,1,1,,,46
5/30/2025 9:22,5/30/2025 9:23,100,82,1,5/30/2025 9:23,1,,0,20,,,0,0,4.846,0,Chrome,137.0.0.0,Windows NT 10.0,1353x761,40.784,40.784,42.29,1,1,,,,,,17.638,17.638,18.809,1,2,,,,,,,1,,,,,1,,1,,,50
5/30/2025 9:23,5/30/2025 9:24,100,111,1,5/30/2025 9:24,1,,0,0,,,0.955,0.955,7.685,1,Chrome,136.0.0.0,CrOS x86_64 14541.0.0,1366x768,36.568,36.568,41.641,1,1,,,,,,,,,,,24.815,24.815,28.956,1,1,1,,1,,,1,,,,,,51
5/30/2025 9:16,5/30/2025 9:17,100,63,1,5/30/2025 9:17,1,,0,0,,,0,0,4.536,0,Chrome,136.0.0.0,Windows NT 10.0,1536x864,,,,,,22.53,23.199,24.173,2,1,,,,,,15.23,15.23,16.663,1,1,,1,,,,,,1,,1,,52
5/30/2025 10:49,5/30/2025 10:50,100,67,1,5/30/2025 10:50,0.8999999761581421,,0,0,,,0,0,3.492,0,Chrome,137.0.0.0,Windows NT 10.0,2560x1440,31.547,31.547,32.519,1,1,,,,,,,,,,,19.38,19.38,20.439,1,1,1,,1,,,1,,,,,,53
5/30/2025 9:18,5/30/2025 9:19,100,65,1,5/30/2025 9:19,1,,0,0,,,0,0,4.105,0,Chrome,136.0.0.0,Windows NT 10.0,1730x973,6.554,37.178,37.805,3,2,,,,,,,,,,,11.635,12.45,13.013,2,2,1,,1,,,1,,,,,,54
5/30/2025 10:30,5/30/2025 10:32,100,106,1,5/30/2025 10:32,0.8999999761581421,,0,0,,,8.689,20.802,22.126,8,Chrome,136.0.0.0,CrOS x86_64 14541.0.0,1280x720,3.74,45.581,46.392,9,1,,,,,,,,,,,15.492,15.492,23.862,1,1,1,,1,,,1,,,,,,55
5/30/2025 9:47,5/30/2025 9:48,100,77,1,5/30/2025 9:48,0.8999999761581421,,0,0,,,2.729,6.344,7.649,5,Chrome,136.0.0.0,Linux x86_64,412x883,2.224,17.486,18.312,13,2,,,,,,,,,,,3.2,15.612,16.4,2,2,1,,1,,,1,,,,,,57
5/30/2025 9:20,5/30/2025 9:22,100,100,1,5/30/2025 9:22,1,,0,5,,,0,0,30.3,0,Chrome,137.0.0.0,Windows NT 10.0,1366x768,,,,,,28.302,28.302,29.804,1,1,19.995,19.995,25.902,1,2,,,,,,,1,,,,,1,,,1,,58
5/30/2025 9:16,5/30/2025 9:17,100,108,1,5/30/2025 9:18,1,,0,0,,,0,0,12.134,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,,,,,,47.57,49.553,50.352,2,1,,,,,,26.184,26.184,27.418,1,2,1,,,1,,1,,,,,,60
5/30/2025 11:13,5/30/2025 11:15,100,111,1,5/30/2025 11:15,0.8999999761581421,,0,0,,,0,0,5.701,0,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,34.963,42.918,44.248,2,2,,,,,,0.014,33.513,34.401,2,2,,,,,,,1,,,,,1,,1,,,61
5/30/2025 9:15,5/30/2025 9:17,100,121,1,5/30/2025 9:17,1,,0,0,,,0,0,14.501,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,31.678,31.678,33.284,1,1,,,,,,,,,,,19.886,19.886,21.953,1,2,1,,1,,,1,,,,,,63
5/30/2025 13:27,5/30/2025 13:29,100,139,1,5/30/2025 13:29,1,,0,0,,,16.674,47.542,50.96,7,Chrome,137.0.0.0,Windows NT 10.0,1920x1080,,,,,,1.714,40.278,42.37,2,1,15.208,15.208,18.371,1,2,,,,,,,1,,,,,1,,,1,,65
5/30/2025 9:21,5/30/2025 9:22,100,54,1,5/30/2025 9:22,0.8999999761581421,,0,20,,,0,0,8.849,0,Chrome,136.0.0.0,Macintosh,1440x900,,,,,,20.216,20.216,21.075,1,1,,,,,,11.911,11.911,12.871,1,1,,1,,,,,,1,,1,,66
5/30/2025 12:25,5/30/2025 12:27,100,80,1,5/30/2025 12:27,0.8999999761581421,,0,0,,,10.069,10.069,11.059,1,Firefox,136,Windows NT 6.1,1920x1080,,,,,,5.307,29.854,34.799,10,1,,,,,,16.72,16.72,17.433,1,2,,1,,,,,,1,,1,,67
5/30/2025 9:21,5/30/2025 9:23,100,129,1,5/30/2025 9:23,1,,0,0,,,0,0,31.05,0,Firefox,138,Windows NT 10.0,1920x1080,48.971,48.971,57.514,1,1,,,,,,,,,,,17.311,17.311,20.829,1,1,1,,1,,,1,,,,,,70
5/30/2025 9:34,5/30/2025 9:35,100,58,1,5/30/2025 9:35,1,,0,0,,,1.033,2.875,4.101,3,Chrome,136.0.0.0,Windows NT 10.0,1366x768,,,,,,1.727,22.645,23.54,4,1,14.522,14.522,15.474,1,2,,,,,,,1,,,,,1,,,1,,72
5/30/2025 9:44,5/30/2025 9:45,100,89,1,5/30/2025 9:45,1,,0,0,,,2.237,5.429,16.895,10,Firefox,139,Windows NT 10.0,1920x1080,28.967,28.967,30.68,1,1,,,,,,22.884,22.884,24.133,1,2,,,,,,,1,,,,,1,,1,,,73
5/30/2025 9:39,5/30/2025 9:41,100,92,1,5/30/2025 9:41,0.8999999761581421,,0,0,,,0,0,5.056,0,Firefox,138,Windows NT 10.0,1472x828,38.537,38.537,40.188,1,1,,,,,,13.711,13.711,16.365,1,1,,,,,,1,,1,,1,,,,,,,74
5/30/2025 9:40,5/30/2025 9:43,100,152,1,5/30/2025 9:43,1,,0,0,,,21.298,21.298,23.652,1,Edge,136.0.0.0,Windows NT 10.0,1536x864,,,,,,47.575,47.575,49.629,1,1,42.96,42.96,48.252,1,2,,,,,,1,,,1,1,,,,,,,75
5/30/2025 9:56,5/30/2025 9:58,100,135,1,5/30/2025 9:58,1,,0,20,,,0,0,32.489,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,39.921,39.921,41.031,1,2,,,,,,,,,,,44.266,44.266,45.426,1,2,,1,,,,,,1,1,,,76
5/30/2025 9:31,5/30/2025 9:33,100,114,1,5/30/2025 9:33,0.8999999761581421,,0,75,,,1.518,1.518,3.994,1,Chrome,136.0.0.0,Linux x86_64,1400x1050,5.813,5.813,6.998,1,1,,,,,,1.677,1.677,2.787,1,1,,,,,,1,,1,,1,,,,,,,78
5/30/2025 9:21,5/30/2025 9:22,100,73,1,5/30/2025 9:22,1,,0,0,,,0,0,5.818,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,29.568,29.614,30.859,2,1,,,,,,,,,,,27.039,27.039,28.214,1,1,1,,1,,,1,,,,,,79
5/30/2025 11:06,5/30/2025 11:09,100,193,1,5/30/2025 11:09,1,,0,0,,,23.006,23.006,23.901,1,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,33.416,33.416,34.786,1,1,,,,,,,,,,,14.778,14.778,15.661,1,2,,1,,,,,,1,1,,,80
5/30/2025 10:02,5/30/2025 10:04,100,110,1,5/30/2025 10:04,0.800000012,,0,20,,,0,0,13.589,0,Chrome,136.0.0.0,Windows NT 10.0,2560x1440,49.643,49.643,50.567,1,2,,,,,,22.097,22.097,25.204,1,1,,,,,,,1,,,,,1,,1,,,81
5/30/2025 9:19,5/30/2025 9:21,100,140,1,5/30/2025 9:21,1,,0,0,,,0,0,14.101,0,Chrome,136.0.0.0,Windows NT 10.0,1536x864,61.771,61.771,63.118,1,1,,,,,,30.202,31.617,32.863,2,2,,,,,,,1,,,,,1,,1,,,83
5/30/2025 9:16,5/30/2025 9:18,100,71,1,5/30/2025 9:18,0.4000000059604645,,0,0,,,0,0,5.121,0,Chrome,136.0.0.0,Windows NT 10.0,1280x800,34.053,34.053,36.395,1,2,,,,,,15.223,15.223,16.683,1,1,,,,,,1,,1,,1,,,,,,,85
5/30/2025 10:09,5/30/2025 10:11,100,101,1,5/30/2025 10:11,1,,0,0,,,26.669,26.669,28.431,1,Edge,136.0.0.0,Windows NT 10.0,1366x768,,,,,,25.233,27.603,28.995,2,1,,,,,,13.426,13.426,18,1,2,1,,,1,,1,,,,,,90
5/30/2025 12:39,5/30/2025 12:41,100,112,1,5/30/2025 12:41,1,,0,0,,,0,0,13.524,0,Chrome,93.0.4577.107,CrOS x86_64 14092.77.0,1187x667,46.314,46.314,47.14,1,1,,,,,,25.933,25.933,27.024,1,1,,,,,,,1,,,,,1,,1,,,91
5/30/2025 9:29,5/30/2025 9:30,100,95,1,5/30/2025 9:30,1,,0,20,,,0,0,3.662,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,,,,,,6.429,50.905,53.216,2,1,14.203,17.467,25.161,2,2,,,,,,1,,,1,1,,,,,,,93
5/30/2025 10:57,5/30/2025 10:59,100,139,1,5/30/2025 10:59,1,,0,30,,,0,0,29.673,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,,,,,,9.743,45.96,48.091,2,1,12.6,25.253,26.72,2,2,,,,,,,1,,,,,1,,,1,,101
5/30/2025 9:22,5/30/2025 9:24,100,131,1,5/30/2025 9:24,1,,0,20,,,11.462,13.672,29.046,3,Chrome,136.0.0.0,Windows NT 10.0,2560x1440,,,,,,3.687,51.481,53.016,4,1,,,,,,6.92,31.55,35.011,4,1,1,,,1,,1,,,,,,104
5/30/2025 12:10,5/30/2025 12:12,100,103,1,5/30/2025 12:12,1,,0,0,,,0,0,8,0,Chrome,137.0.0.0,Windows NT 10.0,1536x864,54.392,54.392,55.268,1,2,,,,,,,,,,,28.042,28.042,29.578,1,2,1,,1,,,1,,,,,,105
5/30/2025 11:11,5/30/2025 11:13,100,107,1,5/30/2025 11:13,1,,0,0,,,0,0,4.643,0,Chrome,137.0.0.0,Windows NT 10.0,1536x864,61.024,61.024,62.019,1,1,,,,,,,,,,,14.815,14.815,15.895,1,1,,1,,,,,,1,1,,,106
5/30/2025 10:32,5/30/2025 10:33,100,64,1,5/30/2025 10:33,1,,0,0,,,0,0,5.83,0,Chrome,136.0.0.0,Windows NT 10.0,1210x681,,,,,,24.069,24.069,30.321,1,1,0.359,10.216,13.943,2,1,,,,,,,1,,,,,1,,,1,,108
5/30/2025 10:13,5/30/2025 10:22,100,529,1,5/30/2025 10:22,1,,0,30,,,68.822,81.335,94.953,3,Chrome,136.0.0.0,Windows NT 10.0,1366x768,11.532,145.171,148.506,4,1,,,,,,5.857,141.315,142.702,6,2,,,,,,,1,,,,,1,,1,,,110
5/30/2025 13:36,5/30/2025 13:38,100,95,1,5/30/2025 13:38,1,,0,0,,,0,0,7.589,0,Opera,118.0.0.0,Windows NT 10.0,2560x1440,24.532,24.532,43.317,1,1,,,,,,28.102,28.102,34.546,1,1,,,,,,1,,1,,1,,,,,,,111
5/30/2025 9:22,5/30/2025 9:25,100,198,1,5/30/2025 9:25,1,,0,0,,,0,0,78.98,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,56.642,56.642,58.364,1,1,,,,,,30.718,30.718,32.884,1,1,,,,,,,1,,,,,1,,1,,,112
5/30/2025 13:14,5/30/2025 13:16,100,95,1,5/30/2025 13:16,1,,0,0,,,2.252,17.302,18.608,5,Chrome,137.0.0.0,Windows NT 10.0,1587x893,23.464,45.018,45.754,4,1,,,,,,15.723,15.723,16.44,1,1,,,,,,1,,1,,1,,,,,,,113
5/30/2025 9:12,5/30/2025 9:13,100,76,1,5/30/2025 9:13,1,,0,0,,,0,0,7.844,0,Chrome,136.0.0.0,Windows NT 10.0,1280x720,,,,,,34.14,34.14,34.976,1,2,,,,,,0.312,18.623,21.502,2,1,,1,,,,,,1,,1,,115
5/30/2025 11:46,5/30/2025 11:47,100,40,1,5/30/2025 11:47,1,,0,0,,,0,0,3.401,0,Chrome,136.0.0.0,Windows NT 10.0,900x1600,4.755,8.2,10.831,2,2,,,,,,8.884,8.884,9.985,1,1,,,,,,1,,1,,1,,,,,,,117
5/30/2025 9:17,5/30/2025 9:24,100,365,1,5/30/2025 9:24,1,,0,0,,,0,0,136.29,0,Chrome,136.0.0.0,CrOS x86_64 14541.0.0,1920x1080,,,,,,82.834,82.834,85.326,1,1,34.04,88.193,89.545,3,2,,,,,,1,,,1,1,,,,,,,118
5/30/2025 9:46,5/30/2025 9:47,100,65,1,5/30/2025 9:47,0.8999999761581421,,0,0,,,2.263,3.142,4.19,2,Chrome,137.0.0.0,Windows NT 10.0,1536x864,26.515,29.375,30.099,3,2,,,,,,20.216,20.216,20.955,1,2,,,,,,1,,1,,1,,,,,,,120
5/30/2025 9:32,5/30/2025 9:34,100,105,1,5/30/2025 9:34,1,,0,0,,,0,0,8.531,0,Edge,136.0.0.0,Windows NT 10.0,1536x864,43.082,43.082,44.461,1,2,,,,,,,,,,,33.424,33.424,34.711,1,1,,1,,,,,,1,1,,,121
5/30/2025 9:24,5/30/2025 9:26,100,146,1,5/30/2025 9:26,1,,0,0,,,0,0,4.839,0,Chrome,137.0.0.0,Macintosh,1470x956,35.965,35.965,36.788,1,2,,,,,,,,,,,25.193,25.193,30.678,1,1,,1,,,,,,1,1,,,123
