StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1_Browser,Q1_Version,Q1_Operating System,Q1_Resolution,Q11_1,Q125,Q67,Q121,Q122,Q138_1,Q140_1,Q142_1,Q2_1,Q2_1,Group,Create New Field or Choose From Dropdown...,FL_4_DO_FL_28,FL_4_DO_FL_29,FL_4_DO_FL_30,FL_4_DO_FL_31,FL_4_DO_FL_32,FL_4_DO_FL_34,TWIN_ID
4/21/25 12:10,4/21/25 12:11,0,100,55,1,4/21/25 12:11,R_5di6FM1xLq7FedW,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,1920x1080,,4,5,1,2,4,,,,,BT,,1,6,3,2,4,5,11
4/21/25 12:16,4/21/25 12:16,0,100,42,1,4/21/25 12:17,R_3GbrV3VMHhm8yKB,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,,4,9,2,2,,,,,1,NANT,,5,3,1,2,4,6,12
4/21/25 18:32,4/21/25 18:33,0,100,38,1,4/21/25 18:33,R_5gwEWFq3N2vaRnO,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,3,9,1,2,,,,1,,UA,,2,3,1,5,6,4,13
4/21/25 13:06,4/21/25 13:07,0,100,52,1,4/21/25 13:07,R_3BFoqYkKzcDXIgF,,,,,anonymous,EN,Safari,18.3.1,Macintosh,1440x900,,3,5,2,2,,,,,1,NANT,,5,4,2,1,3,6,14
4/21/25 12:11,4/21/25 12:11,0,100,49,1,4/21/25 12:11,R_5Q0lSwRDwIGiHwH,,,,,anonymous,EN,Chrome,135.0.0.0,Macintosh,2560x1440,,2,7,2,2,7,,,,,BT,,4,6,2,1,5,3,16
4/21/25 12:17,4/21/25 12:18,0,100,45,1,4/21/25 12:18,R_6e8Y8L3Z6KPbpBv,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,1120x630,,4,7,2,1,,7,,,,PSA,,2,3,6,1,4,5,17
4/21/25 13:11,4/21/25 13:12,0,100,62,1,4/21/25 13:12,R_7PuorvgahoZ93Xu,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,2,6,2,2,,,,2,,UA,,5,4,1,3,6,2,18
4/21/25 14:06,4/21/25 14:07,0,100,56,1,4/21/25 14:07,R_6U2W7pX0iR9FjH3,,,,,anonymous,EN,Chrome,134.0.0.0,Macintosh,2560x1440,,1,5,2,2,6,,,,,BT,,4,6,2,1,3,5,20
4/21/25 12:10,4/21/25 12:11,0,100,56,1,4/21/25 12:11,R_3j9sjv9ziSaEK53,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,1,3,1,1,2,,,,,,CT,,6,3,5,2,1,4,21
4/21/25 12:17,4/21/25 12:18,0,100,65,1,4/21/25 12:18,R_5sRO1gPqwAKpxrX,,,,,anonymous,EN,Safari,16.2,Macintosh,1792x1120,3,2,6,2,2,,,,,,CT,,6,3,2,5,4,1,22
4/21/25 13:54,4/21/25 13:55,0,100,80,1,4/21/25 13:55,R_6pJq0N6QKFxiqck,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,,2,4,1,2,,,,1,,UA,,4,5,1,2,6,3,23
4/21/25 12:11,4/21/25 12:12,0,100,64,1,4/21/25 12:12,R_3NQH4XjWcOiyx8W,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,,4,9,1,1,7,,,,,BT,,3,6,2,4,5,1,24
4/21/25 12:11,4/21/25 12:12,0,100,58,1,4/21/25 12:12,R_73g2JYon1BrYUiV,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,2,9,2,2,,,,,,CT,,6,1,4,2,5,3,25
4/21/25 16:38,4/21/25 16:39,0,100,46,1,4/21/25 16:39,R_3hxBNk2sflpPstp,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,,2,6,2,2,4,,,,,BT,,3,6,4,2,5,1,27
4/21/25 14:02,4/21/25 14:03,0,100,59,1,4/21/25 14:03,R_3fQyhH5oGVjE6Wt,,,,,anonymous,EN,Chrome,130.0.0.0,Macintosh,1470x956,,3,9,2,2,,,5,,,PSB,,3,4,2,6,1,5,28
4/21/25 12:24,4/21/25 12:25,0,100,62,1,4/21/25 12:25,R_1f1alOcbBZ8cWzT,,,,,anonymous,EN,Firefox,137,Ubuntu,1920x1080,,4,5,1,2,7,,,,,BT,,1,6,3,2,4,5,29
4/21/25 14:56,4/21/25 14:57,0,100,65,1,4/21/25 14:57,R_3sp6ZIF9KGxoSFI,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1746x982,,3,6,1,1,,,5,,,PSB,,1,3,2,6,4,5,30
4/21/25 12:10,4/21/25 12:11,0,100,61,1,4/21/25 12:11,R_3hPTUKzTGmQUwh7,,,,,anonymous,EN,Safari,18.4,Macintosh,1440x900,,4,1,1,1,,,,1,,UA,,2,4,3,1,6,5,32
4/21/25 12:19,4/21/25 12:20,0,100,44,1,4/21/25 12:20,R_5EFLe2OkIW3Fve9,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1482x834,,4,3,1,2,,,,,1,NANT,,2,3,1,5,4,6,34
4/21/25 19:16,4/21/25 19:17,0,100,43,1,4/21/25 19:17,R_1QgPGeK84rcwqN1,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x960,,1,4,1,2,6,,,,,BT,,4,6,2,1,3,5,36
4/21/25 12:09,4/21/25 12:09,0,100,55,1,4/21/25 12:09,R_1nB4jo5FK1hi3uw,,,,,anonymous,EN,Chrome,133.0.0.0,CrOS x86_64 14541.0.0,1536x864,,4,5,2,2,,,,,2,NANT,,5,4,2,1,3,6,39
4/21/25 12:16,4/21/25 12:17,0,100,55,1,4/21/25 12:17,R_5di9GB2nTsB5ND5,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,2560x1080,,4,9,1,2,6,,,,,BT,,4,6,1,2,3,5,40
4/21/25 12:26,4/21/25 12:27,0,100,50,1,4/21/25 12:27,R_6WYdO9CrPvwTi81,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,,3,9,2,2,,,,,1,NANT,,5,4,1,2,3,6,41
4/21/25 12:20,4/21/25 12:21,0,100,72,1,4/21/25 12:21,R_6l0e4jtcaqJm6xr,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,6,3,4,1,2,,,,,,CT,,6,1,2,5,4,3,42
4/21/25 14:55,4/21/25 14:56,0,100,38,1,4/21/25 14:56,R_3EgE3qovvw7djDB,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,4,4,1,1,7,,,,,BT,,4,6,5,2,3,1,44
4/21/25 12:14,4/21/25 12:15,0,100,79,1,4/21/25 12:15,R_1h2NFJDsgVduIh3,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,1147x645,,2,9,2,2,1,,,,,BT,,4,6,3,2,1,5,45
4/21/25 12:18,4/21/25 12:18,0,100,41,1,4/21/25 12:18,R_15R0H4ye2G09RUR,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,1920x1080,,3,5,1,2,,,,1,,UA,,5,3,4,2,6,1,46
4/21/25 12:19,4/21/25 12:19,0,100,34,1,4/21/25 12:19,R_3qQMXoPKVvVHA3M,,,,,anonymous,EN,Chrome iPhone,135.0.7049.83,iPhone,390x844,,3,3,1,2,,,,,1,NANT,,3,5,2,1,4,6,47
4/21/25 12:22,4/21/25 12:24,0,100,105,1,4/21/25 12:24,R_7Cf0Eb3Z9ewEVZD,,,,,anonymous,EN,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1517x852,,1,2,1,2,,,6,,,PSB,,3,2,4,6,5,1,48
4/21/25 16:22,4/21/25 16:26,0,100,214,1,4/21/25 16:26,R_7Ic7js0s2NZHbDo,,,,,anonymous,EN,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1366x768,,2,3,1,1,,,,,3,NANT,,1,5,3,4,2,6,51
4/21/25 12:44,4/21/25 12:50,0,100,380,1,4/21/25 12:50,R_5CvaITVjQHuYoMA,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,,3,7,2,2,,,,,1,NANT,,3,1,4,5,2,6,52
4/21/25 12:13,4/21/25 12:14,0,100,41,1,4/21/25 12:14,R_7Lvup0XrWZyDbsg,,,,,anonymous,EN,Chrome,134.0.0.0,Windows NT 10.0,1923x919,,1,1,1,1,,,,1,,UA,,3,2,1,4,6,5,53
4/21/25 12:29,4/21/25 12:30,0,100,73,1,4/21/25 12:30,R_7zDTDwCH5qYprzP,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1730x973,,3,2,2,1,6,,,,,BT,,4,6,1,2,3,5,54
4/21/25 12:14,4/21/25 12:15,0,100,65,1,4/21/25 12:15,R_1MZgzNKSzGNvBjj,,,,,anonymous,EN,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1280x720,,3,9,2,2,,4,,,,PSA,,5,4,6,2,3,1,55
4/21/25 14:32,4/21/25 14:34,0,100,93,1,4/21/25 14:34,R_6c8hOXV2wLHfPiD,,,,,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1536x864,,2,1,2,2,7,,,,,BT,,4,6,2,3,1,5,56
4/21/25 13:31,4/21/25 13:32,0,100,45,1,4/21/25 13:32,R_7n6kForstwXJ86U,,,,,anonymous,EN,Chrome,134.0.0.0,Android 10,412x883,,3,9,2,2,,,,1,,UA,,4,5,3,2,6,1,57
4/21/25 12:13,4/21/25 12:16,0,100,203,1,4/21/25 12:16,R_1rwlLLzeZGqEIOo,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,,2,1,1,2,,,,5,,UA,,2,1,3,4,6,5,58
4/21/25 13:11,4/21/25 13:12,0,100,52,1,4/21/25 13:12,R_51dzJXNjrAXjLR3,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,2,4,2,2,,1,,,,PSA,,3,5,6,2,4,1,60
4/21/25 12:12,4/21/25 12:13,0,100,57,1,4/21/25 12:13,R_5MRMne8RjzB6FCW,,,,,anonymous,EN,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,,2,3,1,2,,,,,1,NANT,,1,5,4,2,3,6,61
4/21/25 14:41,4/21/25 14:42,0,100,86,1,4/21/25 14:42,R_6c2h8PPGwgzcgal,,,,,anonymous,EN,Chrome,135.0.0.0,Macintosh,1470x956,,3,4,1,1,,,,,1,NANT,,1,2,4,3,5,6,62
4/21/25 12:11,4/21/25 12:12,0,100,74,1,4/21/25 12:12,R_7qA1i1394RVY1ZT,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,2,2,9,2,2,,,,,,CT,,6,2,5,1,3,4,63
4/21/25 12:19,4/21/25 12:20,0,100,70,1,4/21/25 12:20,R_57ho3ahwuY3A9dT,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,1,2,5,2,2,,,,,,CT,,6,1,5,4,2,3,64
4/21/25 12:15,4/21/25 12:16,0,100,67,1,4/21/25 12:16,R_6UkACm5rsmAqr85,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,3,6,1,2,5,,,,,BT,,4,6,2,3,1,5,65
4/21/25 12:19,4/21/25 12:20,0,100,75,1,4/21/25 12:20,R_764iPkBD7fB5vSb,,,,,anonymous,EN,Chrome,134.0.0.0,Macintosh,1440x900,,3,6,1,2,,,,5,,UA,,5,2,4,3,6,1,66
4/21/25 18:44,4/21/25 18:45,0,100,49,1,4/21/25 18:45,R_6ILBh2SfRy8ue78,,,,,anonymous,EN,Firefox,115,Windows NT 6.1,1920x1080,,4,6,1,1,,7,,,,PSA,,5,2,6,1,3,4,67
4/21/25 12:28,4/21/25 12:29,0,100,74,1,4/21/25 12:29,R_3Yc9rX5J8y8qP6A,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,1920x1080,,2,4,1,1,,7,,,,PSA,,3,4,6,2,5,1,70
4/21/25 12:47,4/21/25 12:48,0,100,59,1,4/21/25 12:48,R_5iJ4mc2FD4G3C80,,,,,anonymous,EN,Chrome,135.0.0.0,Macintosh,2048x1152,,2,4,1,1,,,,2,,UA,,3,2,4,1,6,5,71
4/21/25 12:24,4/21/25 12:25,0,100,36,1,4/21/25 12:25,R_7S1Ra5VKtOcVQva,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,,2,4,1,1,,,,,5,NANT,,5,1,3,2,4,6,72
4/21/25 12:51,4/21/25 12:53,0,100,109,1,4/21/25 12:53,R_3gL6OKol5y7QpZs,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,1920x1080,,3,6,1,2,,,,2,,UA,,4,5,3,2,6,1,73
4/21/25 14:03,4/21/25 14:05,0,100,75,1,4/21/25 14:05,R_7iNKtja6scO8h7X,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,1472x828,5,1,1,1,1,,,,,,CT,,6,5,2,1,4,3,74
4/21/25 15:45,4/21/25 15:46,0,100,67,1,4/21/25 15:47,R_10BKACzUgaVLy3y,,,,,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1536x864,,1,4,1,2,,,,,2,NANT,,5,2,1,3,4,6,75
4/21/25 12:34,4/21/25 12:35,0,100,57,1,4/21/25 12:35,R_5Xwm5vxypyZlJzX,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,2,4,2,2,,,7,,,PSB,,2,3,1,6,4,5,76
4/21/25 12:22,4/21/25 12:24,0,100,91,1,4/21/25 12:24,R_7DeAcWzKELaF90b,,,,,anonymous,EN,Chrome,133.0.0.0,Linux x86_64,1600x1280,,2,5,1,1,,,,,7,NANT,,5,2,4,1,3,6,78
4/21/25 13:55,4/21/25 13:56,0,100,62,1,4/21/25 13:56,R_7MosmfcA58kO1jW,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,2,2,6,2,2,,,,,,CT,,6,3,1,2,5,4,79
4/21/25 12:15,4/21/25 12:16,0,100,54,1,4/21/25 12:16,R_32nlNDvDwE8D90L,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,3,7,2,2,,,,1,,UA,,2,5,4,1,6,3,80
4/21/25 12:34,4/21/25 12:35,0,100,52,1,4/21/25 12:35,R_5OSKLx6p9nijAcX,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,2560x1440,,2,1,1,2,,,,,1,NANT,,3,2,5,1,4,6,81
4/21/25 12:24,4/21/25 12:27,0,100,147,1,4/21/25 12:27,R_1AKBg1w1UHI5z1B,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,5,3,4,1,2,,,,,,CT,,6,4,5,1,2,3,83
4/21/25 13:17,4/21/25 13:18,0,100,64,1,4/21/25 13:18,R_7D69EoswmuGo1aj,,,,,anonymous,EN,Firefox,137,Macintosh,1728x1117,,4,2,1,1,,,,2,,UA,,5,4,1,3,6,2,84
4/21/25 13:52,4/21/25 13:53,0,100,55,1,4/21/25 13:53,R_5UhSVL1oi3nTdLz,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x800,,3,4,1,2,,3,,,,PSA,,2,4,6,1,3,5,85
4/21/25 12:51,4/21/25 12:52,0,100,87,1,4/21/25 12:53,R_59ukpO1HlZemBoJ,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,3,1,2,2,,4,,,,PSA,,4,1,6,2,5,3,86
4/21/25 12:40,4/21/25 12:41,0,100,96,1,4/21/25 12:41,R_7AJEMcbaMEkeuhH,,,,,anonymous,EN,Chrome,135.0.0.0,Macintosh,1440x900,,3,3,1,2,4,,,,,BT,,5,6,3,1,4,2,88
4/21/25 14:17,4/21/25 14:18,0,100,70,1,4/21/25 14:18,R_74uTh9JpmR20Ptr,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1372x772,,2,8,1,2,,,,3,,UA,,5,2,4,1,6,3,89
4/21/25 12:26,4/21/25 12:27,0,100,42,1,4/21/25 12:27,R_3mH01ux5szt0thf,,,,,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1366x768,,2,3,1,1,,,,,4,NANT,,5,4,3,1,2,6,90
4/21/25 12:35,4/21/25 12:36,0,100,104,1,4/21/25 12:36,R_6w45RN9oSwopfFQ,,,,,anonymous,EN,Chrome,93.0.4577.107,CrOS x86_64 14092.77.0,1366x768,,4,5,1,2,,5,,,,PSA,,3,5,6,2,1,4,91
4/21/25 13:21,4/21/25 13:22,0,100,64,1,4/21/25 13:22,R_7n2BtPH6ZKBM1JP,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,3,2,1,1,,,,,1,NANT,,5,1,2,4,3,6,93
4/21/25 14:23,4/21/25 14:27,0,100,221,1,4/21/25 14:27,R_3V3xzHmmNeqCUSm,,,,,anonymous,EN,Chrome,131.0.0.0,Windows NT 10.0,1366x768,,3,6,2,2,,,,,2,NANT,,5,1,4,3,2,6,95
4/22/25 3:37,4/22/25 3:38,0,100,43,1,4/22/25 3:38,R_1LUnOTx1nXW2qn3,,,,,anonymous,EN,Edge,135.0.0.0,Windows NT 10.0,1280x720,1,3,7,2,1,,,,,,CT,,6,1,3,2,4,5,96
4/21/25 17:39,4/21/25 17:40,0,100,71,1,4/21/25 17:40,R_633ZCqGG5v8actQ,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,,1,2,1,1,2,,,,,BT,,5,6,1,3,2,4,97
4/21/25 13:12,4/21/25 13:13,0,100,47,1,4/21/25 13:13,R_6memK8bXwxbFZWx,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,3,5,2,2,3,,,,,BT,,1,6,2,5,3,4,98
4/21/25 15:03,4/21/25 15:04,0,100,78,1,4/21/25 15:04,R_3CpzU0fnUKPMOkj,,,,,anonymous,EN,Safari iPhone,18.3.1,iPhone,390x844,,2,2,1,2,,3,,,,PSA,,3,1,6,4,5,2,100
4/21/25 12:16,4/21/25 12:17,0,100,93,1,4/21/25 12:17,R_1s6XOchm0CHTUXL,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,,4,9,2,2,,,4,,,PSB,,4,3,1,6,2,5,101
4/21/25 12:24,4/21/25 12:39,0,100,920,1,4/21/25 12:39,R_6Xolp5Bg3fHCe6n,,,,,anonymous,EN,Chrome,131.0.0.0,Windows NT 10.0,1366x768,4,2,4,1,2,,,,,,CT,,6,4,3,2,1,5,103
4/21/25 12:11,4/21/25 12:12,0,100,55,1,4/21/25 12:12,R_5RsAvfQvUn8QgYJ,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,2560x1440,,3,8,1,1,,,,,1,NANT,,2,4,5,1,3,6,104
4/21/25 12:16,4/21/25 12:23,0,100,391,1,4/21/25 12:23,R_6PHLhs6TxgX8y9Z,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,2,3,6,2,2,,,,,,CT,,6,2,1,3,5,4,105
4/21/25 12:12,4/21/25 12:13,0,100,62,1,4/21/25 12:13,R_3rIeWU6aXrGiuM9,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,,1,4,1,1,,,7,,,PSB,,5,4,2,6,1,3,106
4/21/25 12:53,4/21/25 12:55,0,100,115,1,4/21/25 12:55,R_6DlxXhgWUfFKQDf,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,,1,4,1,2,,,,2,,UA,,4,5,2,3,6,1,108
4/21/25 12:16,4/21/25 12:18,0,100,86,1,4/21/25 12:18,R_1QQMRPDhvQ5HNjl,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1536x864,,3,7,2,2,,2,,,,PSA,,5,4,6,2,3,1,109
4/21/25 12:19,4/21/25 12:26,0,100,446,1,4/21/25 12:26,R_7lLVXSXHRLkWTXr,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,,2,2,1,1,,,6,,,PSB,,4,1,3,6,5,2,110
4/21/25 12:23,4/21/25 12:23,0,100,42,1,4/21/25 12:23,R_501z4sxIlhIQBgs,,,,,anonymous,EN,Firefox,137,Windows NT 10.0,2560x1440,6,2,4,2,2,,,,,,CT,,6,2,1,3,4,5,111
4/21/25 12:11,4/21/25 12:12,0,100,98,1,4/21/25 12:12,R_71dOhKTeLPOgcHl,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,3,1,9,2,2,,,,,,CT,,6,2,4,3,1,5,112
4/21/25 15:10,4/21/25 15:12,0,100,87,1,4/21/25 15:12,R_32PuvX02TbAifkf,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1587x893,,2,7,2,2,5,,,,,BT,,3,6,5,2,4,1,113
4/21/25 12:11,4/21/25 12:12,0,100,66,1,4/21/25 12:12,R_3AR4dZSpzHl0cGz,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1280x720,,2,9,1,2,,,6,,,PSB,,5,1,4,6,2,3,115
4/21/25 12:24,4/21/25 12:24,0,100,29,1,4/21/25 12:24,R_69I7ZsUIJOREtW1,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,900x1600,,3,8,1,1,,,,,1,NANT,,2,1,5,4,3,6,117
4/21/25 12:48,4/21/25 12:50,0,100,68,1,4/21/25 12:50,R_1MY9B0cWNrT64vL,,,,,anonymous,EN,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1920x1080,,4,9,1,2,,,,3,,UA,,1,2,3,5,6,4,118
4/21/25 12:12,4/21/25 12:16,0,100,191,1,4/21/25 12:16,R_7CJJY9LX42VnW4z,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1600x900,,2,6,1,2,7,,,,,BT,,1,6,4,2,3,5,119
4/21/25 12:18,4/21/25 12:19,0,100,69,1,4/21/25 12:19,R_5ElN2bULzlDBaOE,,,,,anonymous,EN,Chrome,135.0.0.0,Windows NT 10.0,1366x768,,1,4,2,2,3,,,,,BT,,3,6,1,4,5,2,120
