StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q62,Q57,g_writing,Q59_First Click,Q59_Last Click,Q59_Page Submit,Q59_Click Count,g_manip_check_1,g_manip_check_2,g_manip_check_3,g_manip_check_DO_1,g_manip_check_DO_2,g_manip_check_DO_3,elevation_1,elevation_2,elevation_3,elevation_4,elevation_5,elevation_6,elevation_DO_1,elevation_DO_2,elevation_DO_3,elevation_DO_4,elevation_DO_5,elevation_DO_6,DV1_1,DV1_2,DV1_DO_1,DV1_DO_2,c_writing,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,c_manip_check_1,c_manip_check_2,c_manip_check_3,c_manip_check_DO_1,c_manip_check_DO_2,c_manip_check_DO_3,fatigue_1,fatigue_2,fatigue_3,fatigue_4,fatigue_5,fatigue_6,fatigue_7,fatigue_8,fatigue_9,fatigue_DO_1,fatigue_DO_2,fatigue_DO_3,fatigue_DO_4,fatigue_DO_5,fatigue_DO_6,fatigue_DO_7,fatigue_DO_8,fatigue_DO_9,desire_predict_1,desire_predict_2,desire_predict_3,desire_predict_4,desire_predict_5,desire_predict_6,desire_predict_7,desire_predict_8,desire_predict_DO_1,desire_predict_DO_2,desire_predict_DO_3,desire_predict_DO_4,desire_predict_DO_5,desire_predict_DO_6,desire_predict_DO_7,desire_predict_DO_8,emotion,cond,FL_6_DO_FL_56,FL_6_DO_FL_52,FL_6_DO_FL_53,FL_6_DO_FL_57,FL_37_DO_DV1Elevation,FL_37_DO_DV2Empathicconcern,FL_42_DO_DV1fatigue,FL_42_DO_DV2Predictability,TWIN_ID
5/29/2025 16:57,5/29/2025 17:01,100,190,1,5/29/2025 17:01,4,I will not use AI to answer this survey ,"After waking I

Use the restroom
Let my dog out
feed my dog
let the goats out
feed the goats
clean indoor goat pen
sweep & mop
shower & groom for the day 
eat 
Work
",1.169,130.985,130.987,3,4,4,4,3,1,2,3,3,3,3,5,3,5,4,6,1,3,2,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,22
5/29/2025 16:15,5/29/2025 16:19,100,257,1,5/29/2025 16:19,4,I will not use AI to answer this survey,I wake up and stretch a littl,192.998,192.998,200.014,1,6,6,6,2,1,3,5,5,4,3,5,6,5,4,1,2,3,6,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,23
5/29/2025 18:54,5/29/2025 18:57,100,179,1,5/29/2025 18:57,4,I will not use AI to answer this survey,I woke up and made some breakfast consisting of scrambled eggs with hot sauce on the side then I started cleaning out clutter in the living room and started throwing out trash. I then turned on my laptop to go on the internet to read my email and watch some videos on YouTube.,1.363,123.388,123.391,7,1,1,1,3,1,2,2,2,2,2,5,7,4,5,6,2,3,1,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,24
5/29/2025 18:26,5/29/2025 18:31,100,266,1,5/29/2025 18:31,4,I will not use AI to answer this survey,i was in the hospital for two weeks last year . I was unable to take care of myself and felt extremely grateful to the nursing staff for taking care of me .,8.474,148.734,148.736,4,6,6,6,1,2,3,4,4,3,4,2,4,5,4,3,2,6,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,30
6/2/2025 10:19,6/2/2025 10:23,100,247,1,6/2/2025 10:23,4,I will not use AI to answer this survey,"I was visiting Hershey Park (a local amusement park) with my children. My oldest daughter was walking around the park with friends, and my younger daughter and I were together. We were both getting hungry and wanted to eat something. Food is expensive at the park, but we are season pass holders so I was able to purchase a daily dining plan. I purchased the plan on my phone while I was waiting in line. The line for food was long, and my daughter was getting hungry. When I got to the front of the line and was able to order food, the code would not work for our meal plan. The employee directed me to go to guest services, which was a long walk away from the restaurant. I had already waited in line for 30 minutes, and would have to start over and wait again. I asked the manager if he could please let me just have the meal as I had my receipt and my daughter was very hungry. He allowed me to get the meal plan even though it would not scan. I was very grateful. ",0.916,189.443,189.463,4,5,5,5,2,1,3,5,5,5,5,5,5,4,5,6,2,1,3,2,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,35
5/29/2025 17:02,5/29/2025 17:07,100,258,1,5/29/2025 17:07,4,I will not use AI to answer this survey,"I was in a car accident years ago and will be forever grateful for the help of two young men, men who were complete strangers to me. A gentleman hit his accelerator instead of the brake at a stop sign. He hit my car on the right side, scaring my two young children. He was visibly upset and very apologetic.  He told me what had happened as I was trying to calm my kids. I hadn't gotten out of the car yet when two young men who had been at work in a building across from the accident came ou",5.137,154.134,200.005,3,7,7,7,1,2,3,7,7,7,7,7,7,3,2,4,6,5,1,7,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,36
5/29/2025 16:13,5/29/2025 16:17,100,188,1,5/29/2025 16:17,4,I will not use AI to answer this survey,"I was broke down on a road and a kind person stopped and took me to an area with cell service.  I was able to call for a toe truck and they took me back up to the car to wait for help.  I was very greatful for the random act of kindness from a stranger, I was in a bad place without cell service!  They really helped me out in a time of great need!",2.657,121.74,121.743,2,6,6,6,3,2,1,3,3,3,3,3,3,6,1,2,3,4,5,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,40
5/29/2025 16:41,5/29/2025 16:44,100,194,1,5/29/2025 16:44,4,"I will not use AI to answer this survey
","First thing in the morning, I usually check my texts/emails. Then I feed my cat. Afterward, I head to the  to do my hair, makeup, teeth, etc. Next I will pick out my outfit and get dressed, gather my belongings for the day, and head out the door. ",39.635,137.055,137.056,10,5,5,5,1,2,3,4,4,4,4,4,4,3,2,6,5,1,4,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,1,2,,,41
5/29/2025 21:25,5/29/2025 21:29,100,258,1,5/29/2025 21:29,4,I will not use AI to answer this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I own my home and feel in control when I keep it maintained and do home improvements. I have done many projects around the house and learned a few new skills. This makes me feel empowered. However, sometimes I fail in my task or don't like my work, and that makes me feel weak and dependent. But even when I don't like my own work, I do feel in control of what happens. I can always choose to hire someone. My choice.",2.649,121.572,121.574,2,6,6,5,1,3,2,2,2,5,2,2,2,5,4,4,8,6,3,4,2,7,1,9,5,2,3,5,2,2,5,6,5,4,8,1,3,6,5,2,7,in_control,control,,1,,,,,1,2,42
5/29/2025 16:49,5/29/2025 16:51,100,165,1,5/29/2025 16:51,4,I will not use AI to answer this survey,I wake up brush my teeth then use the bathroom then do my morning chores  then eat breakfast and get on my computer and whatever I have to do for that day.,3.522,128.223,128.226,3,7,7,7,3,2,1,7,7,7,7,7,7,6,1,2,3,5,4,5,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,1,2,,,43
5/29/2025 19:59,5/29/2025 20:02,100,190,1,5/29/2025 20:02,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When my dad had his first amputation, I learned how to set up an IV drip at home. It was an extremely stressful time, but I was able to get it set up pretty quickly due to the experience I was accumulating. I also had to pack his wound, and I quickly got used to the sight of open flesh and the smell of hydrogen peroxide.",1.155,122.07,122.078,2,1,1,1,2,3,1,1,1,7,1,1,1,1,7,1,7,3,8,5,4,1,6,9,2,5,7,5,5,3,5,7,3,2,8,5,1,7,6,3,4,in_control,control,,1,,,,,2,1,44
