StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,t_intro _First Click,t_intro _Last Click,t_intro _Page Submit,t_intro _Click Count,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,t_CTXTintro_First Click,t_CTXTintro_Last Click,t_CTXTintro_Page Submit,t_CTXTintro_Click Count,Intro,t_Printer_TC_First Click,t_Printer_TC_Last Click,t_Printer_TC_Page Submit,t_Printer_TC_Click Count,Bin.Printer_TC,t_Cell_Comp_First Click,t_Cell_Comp_Last Click,t_Cell_Comp_Page Submit,t_Cell_Comp_Click Count,Comp_Cell,t_TV_Attr_First Click,t_TV_Attr_Last Click,t_TV_Attr_Page Submit,t_TV_Attr_Click Count,Attr_TV,t_TV_Comp_First Click,t_TV_Comp_Last Click,t_TV_Comp_Page Submit,t_TV_Comp_Click Count,Comp_TV,t_Cell_Attr_First Click,t_Cell_Attr_Last Click,t_Cell_Attr_Page Submit,t_Cell_Attr_Click Count,Attr_Cell,t_TV_TC_First Click,t_TV_TC_Last Click,t_TV_TC_Page Submit,t_TV_TC_Click Count,Bin.TV_TC,t_Printer_Attr_First Click,t_Printer_Attr_Last Click,t_Printer_Attr_Page Submit,t_Printer_Attr_Click Count,Attr_Printer,t_Printer_Comp_First Click,t_Printer_Comp_Last Click,t_Printer_Comp_Page Submit,t_Printer_Comp_Click Count,Comp_Printer,t_Cell_TC_First Click,t_Cell_TC_Last Click,t_Cell_TC_Page Submit,t_Cell_TC_Click Count,Bin.Cell_TC,FL_213_DO_FL_215,FL_213_DO_FL_241,FL_213_DO_FL_255,FL_213_DO_FL_292,FL_213_DO_FL_274,FL_213_DO_FL_304,FL_224_DO_Bin.Printet_TC,FL_224_DO_Comp.Cell,FL_224_DO_Attr.TV,FL_244_DO_Bin.Printet_TC,FL_244_DO_Comp.TV,FL_244_DO_Attr.Cell,FL_258_DO_Bin.TV_TC,FL_258_DO_Comp.Cell,FL_258_DO_Attr.Printer,FL_295_DO_Bin.TV_TC,FL_295_DO_Attr.Cell,FL_295_DO_Comp.Printer,FL_277_DO_Bin.Cell_TC,FL_277_DO_Attr.Printer,FL_277_DO_Comp.TV,FL_307_DO_Bin.Cell_TC,FL_307_DO_Attr.TV,FL_307_DO_Comp.Printer,TWIN_ID
5/30/2025 9:22,5/30/2025 9:23,100,78,1,5/30/2025 9:23,1,,0,0,,,0,0,15.57,0,Firefox,139,Windows NT 10.0,1120x630,21.098,21.098,22.311,1,3,4.417,4.417,5.817,1,1,6.912,6.912,8.743,1,1,6.55,6.55,9.498,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,3,,,,,,,,,,,,,,,,17
5/30/2025 9:13,5/30/2025 9:16,100,189,1,5/30/2025 9:16,0.8999999761581421,,0,0,,,0,0,64.745,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,32.998,32.998,35.015,1,2,,,,,,,,,,,18.495,28.383,29.395,2,2,,,,,,,,,,,,,,,,,,,,,18.838,18.838,20.368,1,2,26.794,26.794,27.975,1,1,,,,,,1,,,,,,,,,,,,,,,,1,3,2,18
5/30/2025 9:15,5/30/2025 9:16,100,83,1,5/30/2025 9:16,1,,0,50,,,8.764,8.764,9.216,1,Chrome,136.0.0.0,Windows NT 10.0,1366x768,20.587,20.587,22.726,1,2,,,,,,,,,,,17.014,17.014,18.357,1,3,,,,,,,,,,,,,,,,,,,,,4.232,6.55,7.777,2,2,11.097,11.097,14.354,1,1,,,,,,1,,,,,,,,,,,,,,,,1,2,3,21
5/30/2025 9:08,5/30/2025 9:14,100,323,1,5/30/2025 9:14,0.8999999761581421,,0,0,,,0,0,31.346,0,Safari,16.2,Macintosh,1792x1120,1.039,46.156,56.638,2,2,,,,,,,,,,,,,,,,1.037,71.057,73.771,2,2,,,,,,,,,,,37.103,64.179,66.636,2,2,,,,,,2.29,66.457,67.496,2,2,,,,,1,,,,,,,,,,,,,,3,1,2,,,,22
5/30/2025 9:10,5/30/2025 9:12,100,103,1,5/30/2025 9:12,1,,0,0,,,0,0,18.553,0,Chrome,136.0.0.0,Windows NT 10.0,1366x768,16.87,16.87,25.436,1,2,10.867,12.214,13.024,2,2,15.306,15.306,16.182,1,3,14.928,14.928,15.734,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,2,,,,,,,,,,,,,,,,23
5/30/2025 9:10,5/30/2025 9:13,100,184,1,5/30/2025 9:13,1,,0,0,,,0,0,11.062,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,39.511,39.511,43.916,1,3,,,,,,,,,,,,,,,,,,,,,30.676,30.676,32.1,1,3,25.116,25.116,28.272,1,2,,,,,,43.076,43.076,45.601,1,2,,,,,,,,,1,,,,,,,,,,,,3,2,1,,,,,,,25
5/30/2025 9:46,5/30/2025 9:48,100,134,1,5/30/2025 9:48,1,,0,0,,,0,0,33.245,0,Firefox,138,Ubuntu,1920x1080,6.856,25.924,27.381,2,2,,,,,,,,,,,,,,,,8.494,24.35,25.464,2,2,,,,,,,,,,,6.447,20.246,21.216,2,2,,,,,,6.945,18.694,19.573,2,2,,,,,1,,,,,,,,,,,,,,3,2,1,,,,29
5/30/2025 9:19,5/30/2025 9:20,100,73,1,5/30/2025 9:20,1,,0,0,,,0,0,6.299,0,Chrome,136.0.0.0,Windows NT 10.0,1536x864,16.95,16.95,28.131,1,1,4.596,4.596,6.932,1,2,,,,,,,,,,,9.663,9.663,11.824,1,2,11.567,11.567,14.187,1,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,,,,,,,,,,,,,35
5/30/2025 9:11,5/30/2025 9:14,100,182,1,5/30/2025 9:14,1,,0,0,,,28.678,30.291,31.534,2,Chrome,136.0.0.0,Windows NT 10.0,1920x1200,49.893,49.893,50.777,1,1,,,,,,,,,,,,,,,,25.665,25.665,26.466,1,2,,,,,,,,,,,31.241,31.241,32.604,1,2,,,,,,15.438,17.952,18.644,3,1,,,,,1,,,,,,,,,,,,,,3,2,1,,,,38
5/30/2025 9:26,5/30/2025 9:29,100,174,1,5/30/2025 9:29,1,,0,0,,,0,0,16.449,0,Chrome,134.0.0.0,CrOS x86_64 14541.0.0,1536x864,32.354,32.354,34.291,1,2,,,,,,,,,,,,,,,,,,,,,25.427,25.427,26.5,1,3,33.744,38.758,39.785,2,2,,,,,,36.345,36.345,37.581,1,3,,,,,,,,,1,,,,,,,,,,,,2,1,3,,,,,,,39
5/30/2025 9:08,5/30/2025 9:10,100,104,1,5/30/2025 9:10,1,,0,20,,,0,0,12.961,0,Chrome,136.0.0.0,Windows NT 10.0,2560x1080,30.747,30.747,31.883,1,2,,,,,,,,,,,,,,,,,,,,,20.983,20.983,22.434,1,3,8.848,8.848,11.189,1,2,,,,,,12.24,12.24,15.509,1,1,,,,,,,,,1,,,,,,,,,,,,3,2,1,,,,,,,40
5/30/2025 10:01,5/30/2025 10:02,100,75,1,5/30/2025 10:02,1,,0,0,,,0,0,5.97,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,11.202,11.202,17.022,1,2,,,,,,,,,,,4.437,8.456,9.491,2,1,,,,,,,,,,,,,,,,,,,,,21.459,21.459,22.907,1,2,7.845,7.845,9.343,1,2,,,,,,1,,,,,,,,,,,,,,,,3,2,1,44
