StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,botcheck1,botcheck2,Q403_Browser,Q403_Version,Q403_Operating System,Q403_Resolution,Q635,rating_1_1,rating_2_1,rating_3_1,rating_4_1,rating_5_1,rating_6_1,rating_7_1,rating_8_1,rating_9_1,rating_10_1,Q313,Q313_3_TEXT,Q326,oonservative,Q315,Q315_4_TEXT,lean,strong_rep,strong_dem,OpenEndedComments,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,party_1,party_2,party_3,party_4,party_5,party_6,party_7,party_8,party_9,party_10,party_11,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,history_1,history_2,history_3,history_4,history_5,history_6,history_7,history_8,history_9,history_10,donation_1,donation_2,donation_3,donation_4,donation_5,donation_6,donation_7,donation_8,donation_9,donation_10,TWIN_ID
4/21/25 12:04,4/21/25 12:07,100,126,1,4/21/25 12:07,17,1,Chrome,135.0.0.0,Windows NT 10.0,1366x768,4,8,8,7,7,6,8,8,8,5,8,1,,62,6,1,,,2,,,,,,,,,,,,,Republican,Republican,Democrat,Republican,Democrat,Republican,Republican,Democrat,Democrat,Republican,,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,I currently only donate to Republicans,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Republicans,I currently don't donate to any politician,I currently only donate to Democrats,I currently don't donate to any politician,85
4/21/25 12:45,4/21/25 12:50,100,304,1,4/21/25 12:50,17,1,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,6,7,7,7,7,7,7,6,7,7,2,,56,6,1,,,1,,No additional comments,,,,,,,,,,,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican,Democrat,Republican,Democrat,,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Democrats,never used to donate to politicians,never used to donate to politicians,used to only donate to Republicans,used to only donate to Democrats,used to only donate to Republicans,never used to donate to politicians,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Democrats,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,86
4/21/25 13:14,4/21/25 13:18,100,244,1,4/21/25 13:18,17,1,Chrome,135.0.0.0,Windows NT 10.0,1372x772,4,7,7,1,7,6,7,6,9,9,7,2,,66,2,2,,,,1,,,,,,,,,,,,Republican,Republican,Republican,Democrat,Republican,Republican,Republican,Democrat,Democrat,Democrat,,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,I currently donate to both Democrats and Republicans,89
4/21/25 12:22,4/21/25 12:26,100,230,1,4/21/25 12:26,17,1,Edge,135.0.0.0,Windows NT 10.0,1366x768,4,1,1,6,1,6,1,1,1,1,1,2,,47,1,2,,,,1,NA,,,,,,,,,,,Republican,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Republican,Republican,Republican,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,used to only donate to Republicans,used to only donate to Democrats,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to only donate to Republicans,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently don't donate to any politician,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,90
4/21/25 12:37,4/21/25 12:40,100,180,1,4/21/25 12:40,17,1,Chrome,93.0.4577.107,CrOS x86_64 14092.77.0,1366x768,4,6,7,5,8,7,9,9,6,6,7,2,,59,2,2,,,,2,,,,,,,,,,,,Democrat,Democrat,Republican,Republican,Republican,Democrat,Republican,Republican,Republican,Democrat,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",used to only donate to Democrats,used to only donate to Democrats,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Republicans,used to donate to politicians from both parties,used to only donate to Republicans,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently only donate to Democrats,91
4/21/25 13:22,4/21/25 13:26,100,224,1,4/21/25 13:26,17,1,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,7,7,5,5,5,5,4,8,6,7,1,,54,2,3,,2,,,,,,,,,,,,,,Democrat,Democrat,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Democrat,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently don't donate to any politician,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Republicans,I currently only donate to Democrats,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,93
4/21/25 14:00,4/21/25 14:14,100,821,1,4/21/25 14:14,17,1,Chrome,131.0.0.0,Windows NT 10.0,1366x768,4,8,8,7,8,8,8,9,7,9,8,2,,59,7,1,,,1,,,,,,,,,,,,,Republican,Democrat,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Republicans,used to only donate to Democrats,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to only donate to Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Democrats,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently only donate to Democrats,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently only donate to Republicans,95
4/21/25 14:16,4/21/25 14:19,100,183,1,4/21/25 14:19,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,7,8,9,5,7,9,8,7,8,7,1,,62,2,3,,2,,,,,,,,,,,,,,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Democrat,Republican,Republican,Democrat,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,used to only donate to Democrats,used to only donate to Democrats,never used to donate to politicians,used to only donate to Republicans,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,97
4/21/25 13:09,4/21/25 13:11,100,139,1,4/21/25 13:11,17,1,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,7,7,7,7,7,7,7,7,7,4,2,,49,2,2,,,,2,,,,,,,,,,,,Democrat,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,98
4/21/25 14:56,4/21/25 15:00,100,250,1,4/21/25 15:00,17,1,Safari iPhone,18.3.1,iPhone,390x844,4,6,6,6,1,6,8,8,7,7,8,1,,46,1,2,,,,1,,,,,,,,,,,,Republican,Democrat,Republican,Republican,Republican,Republican,Republican,Democrat,Democrat,Democrat,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to only donate to Republicans,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Democrats,used to only donate to Democrats,never used to donate to politicians,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from","I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,I currently only donate to Democrats,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",100
4/21/25 11:59,4/21/25 12:04,100,300,1,4/21/25 12:04,17,1,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,1,1,1,1,9,1,1,1,9,1,1,,55,4,2,,,,1,,,,,,,,,,,,Republican,Democrat,Democrat,Republican,Democrat,Democrat,Republican,Democrat,Democrat,Republican,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,never used to donate to politicians,used to only donate to Democrats,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to only donate to Democrats,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans,I currently only donate to Republicans,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently don't donate to any politician,101
4/21/25 12:07,4/21/25 12:23,100,984,1,4/21/25 12:23,17,1,Chrome,131.0.0.0,Windows NT 10.0,1366x768,4,1,1,9,1,9,9,1,1,9,9,2,,26,7,1,,,1,,no,,,,,,,,,,,Democrat,Democrat,Republican,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Republican,,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Democrats,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans so my business can work well with whoever wins,103
4/21/25 12:03,4/21/25 12:07,100,222,1,4/21/25 12:07,17,1,Chrome,135.0.0.0,Windows NT 10.0,2560x1440,4,8,6,9,9,9,9,4,8,4,9,1,,37,5,1,,,2,,,,,,,,,,,,,Democrat,Democrat,Republican,Republican,Republican,Republican,Democrat,Republican,Republican,Republican,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Republicans,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,I currently donate to both Democrats and Republicans,I currently only donate to Democrats,I currently don't donate to any politician,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently don't donate to any politician,104
4/21/25 12:10,4/21/25 12:16,100,370,1,4/21/25 12:16,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,8,5,1,1,1,5,9,1,5,8,1,,55,4,3,,1,,,,,,,,,,,,,,Republican,Republican,Republican,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Republican,,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",never used to donate to politicians,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Republicans,I currently only donate to Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Democrats,I currently only donate to Democrats,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,I currently only donate to Republicans,105
4/21/25 12:09,4/21/25 12:12,100,204,1,4/21/25 12:12,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,4,5,4,5,6,5,4,5,4,5,2,,63,2,2,,,,1,,,,,,,,,,,,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Republican,Republican,Republican,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently don't donate to any politician,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,106
4/21/25 12:56,4/21/25 13:00,100,246,1,4/21/25 13:00,17,1,Chrome,135.0.0.0,Windows NT 10.0,1366x768,4,6,7,8,6,8,7,7,7,8,6,2,,55,3,3,,3,,,,,,,,,,,,,,Republican,Democrat,Democrat,Republican,Democrat,Democrat,Republican,Republican,Democrat,Republican,,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Republicans,used to donate to politicians from both parties,used to only donate to Republicans,I currently only donate to Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently don't donate to any politician,108
4/21/25 12:12,4/21/25 12:16,100,266,1,4/21/25 12:16,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,9,8,9,9,9,5,5,8,7,5,1,,57,6,1,,,2,,,,,,,,,,,,,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,used to only donate to Republicans,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,used to only donate to Democrats,never used to donate to politicians,used to only donate to Democrats,used to only donate to Democrats,never used to donate to politicians,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from","I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from","I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,109
4/21/25 12:06,4/21/25 12:17,100,683,1,4/21/25 12:17,17,1,Chrome,135.0.0.0,Windows NT 10.0,1366x768,4,9,1,7,4,9,9,9,9,4,8,2,,30,7,1,,,1,,No comments.,,,,,,,,,,,Republican,Democrat,Republican,Democrat,Republican,Republican,Republican,Republican,Democrat,Republican,,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Democrats,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Republicans,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,110
4/21/25 12:18,4/21/25 12:22,100,213,1,4/21/25 12:22,17,1,Firefox,137,Windows NT 10.0,2560x1440,4,6,8,7,8,7,8,7,8,6,7,1,,24,6,1,,,1,,,,,,,,,,,,,Democrat,Republican,Democrat,Republican,Democrat,Republican,Republican,Republican,Democrat,Republican,,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to only donate to Republicans,never used to donate to politicians,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans,I currently only donate to Democrats,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,111
