StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,SETTYPE,DWELOWN_GSS,BUS_CPS,SCHENR_CPS,PUWC_CPS,V1-V2_ATUS,HEALTH_GSS,POORSERV_GSS,WWWHR_GSS,HLTHWEB_GSS,SATFIN_GSS,JOBLOSE_GSS,TRUST_GSS,CONBUS_GSS,CONPRESS_GSS,ATTENTION_CHECK,FAMSUFFR_GSS,IMMJOBS_GSS,AFFRMACT_GSS,GOVT_RESPONSIBILITY,HLTHTAX,GETAHEAD,FAIR,FAEDUC,CONCERNCO_PEW,TIKTOK,VOTE20_GSS,PRES20_GSS,TWIN_ID
6/27/2025 12:05,6/27/2025 12:08,100,178,1,6/27/2025 12:08,2,1,2,2,1,2,2,6,40,4,2,3,1,3,3,3,5,5,2,3,2,3,3,6,2,4,1,1,21
6/27/2025 12:28,6/27/2025 12:36,100,488,1,6/27/2025 12:36,2,2,1,2,1,2,2,4,30,1,2,3,2,3,3,3,2,5,2,1,4,2,3,3,3,5,1,1,22
6/27/2025 13:10,6/27/2025 13:14,100,237,1,6/27/2025 13:14,5,3,2,2,1,3,4,7,10,1,3,5,3,3,4,3,1,1,4,5,5,3,1,3,3,2,2,4,24
6/27/2025 11:50,6/27/2025 11:55,100,279,1,6/27/2025 11:55,5,1,2,2,1,2,2,6,20,5,3,4,3,2,2,3,5,5,2,1,1,2,3,2,2,1,1,1,25
6/30/2025 9:12,6/30/2025 9:16,100,218,1,6/30/2025 9:16,3,1,2,2,1,2,3,3,10,1,3,5,3,3,3,3,3,5,2,3,3,2,2,5,3,3,1,3,27
6/28/2025 19:57,6/28/2025 20:01,100,235,1,6/28/2025 20:01,2,1,2,2,1,2,2,7,30,3,3,5,2,3,3,3,5,5,5,3,2,3,3,6,2,3,1,1,28
6/27/2025 11:45,6/27/2025 11:49,100,267,1,6/27/2025 11:49,3,1,2,2,1,2,3,6,40,5,3,4,3,3,2,3,5,5,1,1,5,2,3,2,1,1,1,1,29
6/27/2025 11:51,6/27/2025 12:05,100,830,1,6/27/2025 12:05,1,2,2,2,1,2,3,6,50,1,3,4,1,2,3,3,2,1,3,4,4,1,1,2,2,2,1,3,34
6/28/2025 16:26,6/28/2025 16:29,100,208,1,6/28/2025 16:29,4,1,2,2,3,2,1,6,20,1,1,4,1,2,1,3,5,5,3,1,1,1,2,5,2,2,1,1,36
6/27/2025 12:10,6/27/2025 12:14,100,235,1,6/27/2025 12:14,4,1,2,2,1,2,2,4,20,1,3,3,2,2,2,3,4,3,4,4,4,1,2,2,1,3,1,2,38
6/27/2025 11:53,6/27/2025 11:58,100,272,1,6/27/2025 11:58,4,2,2,2,1,2,3,6,40,1,2,4,3,2,3,3,1,2,4,5,5,1,2,1,2,1,1,2,39
6/27/2025 11:56,6/27/2025 12:05,100,509,1,6/27/2025 12:05,2,1,1,2,2,2,2,4,70,4,2,4,2,3,3,3,3,4,3,3,2,1,2,5,1,2,1,2,40
6/27/2025 11:55,6/27/2025 12:00,100,275,1,6/27/2025 12:00,2,2,2,2,1,2,2,5,45,1,2,3,3,2,3,3,4,3,3,4,4,2,3,5,3,4,1,2,41
6/27/2025 16:07,6/27/2025 16:12,100,308,1,6/27/2025 16:12,4,1,2,2,3,1,2,4,50,5,2,4,3,2,1,3,5,4,5,2,1,2,3,2,2,4,1,1,42
6/27/2025 11:55,6/27/2025 11:59,100,227,1,6/27/2025 11:59,3,1,1,1,2,2,2,5,14,1,2,5,2,2,3,3,3,2,4,4,3,2,3,5,1,5,1,1,43
6/27/2025 11:45,6/27/2025 11:48,100,169,1,6/27/2025 11:48,2,1,2,2,1,2,3,3,60,5,3,4,3,3,3,3,5,5,1,1,1,3,3,1,1,5,1,1,44
6/28/2025 12:20,6/28/2025 12:24,100,227,1,6/28/2025 12:24,3,1,1,2,1,2,2,4,20,1,2,4,2,2,3,3,4,2,4,5,5,1,3,2,2,2,1,2,45
6/27/2025 12:10,6/27/2025 12:15,100,326,1,6/27/2025 12:15,2,1,2,2,1,2,2,5,35,6,3,3,2,3,3,3,5,2,3,3,4,3,1,6,1,6,1,3,46
6/27/2025 11:55,6/27/2025 11:58,100,150,1,6/27/2025 11:58,4,1,2,2,1,2,2,3,30,1,2,3,1,2,3,3,2,2,4,5,5,2,3,5,3,3,1,2,47
6/27/2025 11:53,6/27/2025 11:58,100,282,1,6/27/2025 11:58,5,1,2,2,1,2,1,6,20,4,3,3,2,3,3,3,5,3,3,3,2,2,1,3,2,1,2,4,49
6/28/2025 11:31,6/28/2025 11:36,100,303,1,6/28/2025 11:36,5,1,2,2,3,2,2,6,25,5,3,4,3,3,2,3,4,4,3,4,4,1,2,1,2,2,1,1,50
6/27/2025 12:57,6/27/2025 13:02,100,289,1,6/27/2025 13:02,2,2,2,2,1,2,3,5,15,3,3,2,1,1,3,3,4,2,3,3,4,1,2,4,2,2,1,3,51
6/27/2025 11:50,6/27/2025 11:54,100,239,1,6/27/2025 11:54,3,1,2,2,2,2,2,3,15,4,3,5,2,3,2,3,3,4,3,3,2,1,1,2,1,2,1,1,53
6/27/2025 11:57,6/27/2025 12:04,100,406,1,6/27/2025 12:04,1,1,2,2,1,2,2,5,12,4,3,3,1,2,2,3,3,2,3,5,2,2,1,3,3,3,2,4,54
6/27/2025 11:45,6/27/2025 11:50,100,261,1,6/27/2025 11:50,4,1,2,2,3,2,2,6,15,5,2,5,1,2,1,3,4,4,2,2,2,1,2,6,1,2,1,1,55
6/27/2025 16:11,6/27/2025 16:17,100,337,1,6/27/2025 16:17,3,1,2,2,1,2,2,4,8,7,3,3,2,3,3,3,3,2,4,4,3,1,2,1,2,1,2,4,56
6/27/2025 12:01,6/27/2025 12:10,100,493,1,6/27/2025 12:10,2,1,1,2,1,1,2,4,15,5,2,4,3,2,2,3,2,4,1,1,2,1,3,6,3,5,1,1,57
6/27/2025 12:19,6/27/2025 12:25,100,389,1,6/27/2025 12:25,5,2,2,2,3,2,1,6,36,6,3,4,2,2,3,3,5,5,3,2,2,3,1,2,1,2,1,1,58
6/27/2025 11:47,6/27/2025 11:53,100,345,1,6/27/2025 11:53,5,1,2,2,1,2,3,5,20,5,2,4,1,1,3,3,4,3,3,4,5,1,2,2,3,1,1,2,60
6/27/2025 12:04,6/27/2025 12:09,100,268,1,6/27/2025 12:09,5,1,1,2,1,2,2,6,25,1,3,3,3,3,3,3,4,3,3,5,3,1,3,5,2,3,1,2,61
6/27/2025 14:46,6/27/2025 14:52,100,324,1,6/27/2025 14:52,3,1,2,2,1,2,2,4,14,3,2,3,2,2,3,3,4,5,2,4,2,2,1,5,4,5,1,3,62
6/27/2025 12:01,6/27/2025 12:10,100,551,1,6/27/2025 12:10,5,1,2,2,1,2,3,4,15,1,3,5,2,3,3,3,2,1,4,1,5,1,4,1,2,1,1,2,63
6/27/2025 11:53,6/27/2025 11:58,100,329,1,6/27/2025 11:58,2,2,2,2,1,2,4,5,25,4,2,4,3,2,3,3,3,2,4,3,2,1,3,1,2,2,1,2,64
6/27/2025 12:59,6/27/2025 13:08,100,550,1,6/27/2025 13:08,2,2,2,2,1,2,3,5,40,5,3,4,3,3,2,3,5,5,1,2,2,3,3,2,2,3,1,1,65
6/27/2025 12:05,6/27/2025 12:09,100,240,1,6/27/2025 12:09,1,1,1,2,1,2,1,5,20,1,2,3,3,2,3,3,2,4,2,3,4,2,2,5,2,4,1,1,66
6/27/2025 13:30,6/27/2025 13:33,100,167,1,6/27/2025 13:33,1,2,2,2,1,2,2,5,20,1,3,3,3,3,3,3,5,5,1,1,1,3,3,2,1,5,1,3,67
6/27/2025 14:15,6/27/2025 14:23,100,499,1,6/27/2025 14:23,2,1,2,2,3,1,2,3,20,4,3,4,1,2,1,3,5,4,3,1,3,2,2,4,1,3,1,1,70
6/27/2025 12:58,6/27/2025 13:01,100,169,1,6/27/2025 13:01,3,1,2,2,1,2,2,6,25,3,2,3,2,3,3,3,4,4,3,2,2,2,3,2,1,3,1,2,72
6/30/2025 9:00,6/30/2025 9:07,100,396,1,6/30/2025 9:07,5,1,1,2,1,2,2,4,20,5,2,3,3,1,3,3,4,4,3,3,2,2,2,6,1,2,1,1,73
6/27/2025 12:40,6/27/2025 12:45,100,296,1,6/27/2025 12:45,3,2,1,2,1,2,4,6,35,5,3,4,3,2,3,3,4,4,3,3,2,1,2,2,2,4,1,1,74
6/27/2025 12:41,6/27/2025 12:46,100,259,1,6/27/2025 12:46,1,2,2,2,1,2,2,5,20,4,2,3,2,2,2,3,4,3,3,1,3,2,3,6,3,4,1,1,75
6/27/2025 11:50,6/27/2025 11:55,100,288,1,6/27/2025 11:55,4,1,2,2,1,2,2,7,8,1,2,4,2,3,3,3,4,1,4,5,5,1,1,3,3,1,1,2,76
6/30/2025 4:21,6/30/2025 4:26,100,310,1,6/30/2025 4:26,3,1,2,2,1,2,3,5,50,1,3,1,2,2,2,3,3,1,4,2,3,2,3,2,3,5,1,2,77
6/27/2025 11:56,6/27/2025 12:06,100,655,1,6/27/2025 12:06,4,1,1,2,2,2,2,4,5,3,2,4,2,2,2,3,4,3,4,4,5,1,3,1,4,2,1,2,78
6/27/2025 15:38,6/27/2025 15:43,100,306,1,6/27/2025 15:43,4,1,2,2,3,2,3,6,45,4,2,4,2,3,3,3,3,2,3,2,2,3,3,2,2,4,1,2,79
6/27/2025 11:49,6/27/2025 11:54,100,296,1,6/27/2025 11:54,3,1,2,2,3,2,2,6,3,4,2,4,2,2,3,3,2,1,4,5,5,1,3,5,1,4,1,2,80
6/27/2025 13:53,6/27/2025 13:59,100,327,1,6/27/2025 13:59,2,1,2,2,1,2,2,5,25,5,3,3,2,2,2,3,4,4,2,1,2,1,1,2,2,2,1,1,81
6/27/2025 12:34,6/27/2025 12:41,100,394,1,6/27/2025 12:41,2,1,2,2,3,2,2,4,20,3,2,4,2,3,2,3,2,2,2,2,2,2,1,3,2,5,1,2,83
6/27/2025 12:06,6/27/2025 12:12,100,383,1,6/27/2025 12:12,5,1,1,2,1,1,2,3,45,1,3,4,3,3,3,3,5,5,2,1,1,3,1,5,1,2,1,1,84
6/27/2025 14:23,6/27/2025 14:29,100,345,1,6/27/2025 14:29,2,1,2,2,1,2,2,6,15,4,1,3,2,1,3,3,3,2,4,5,4,1,3,2,2,1,1,2,85
6/27/2025 12:09,6/27/2025 12:13,100,260,1,6/27/2025 12:13,3,2,2,2,5,2,4,3,60,1,3,4,3,3,3,3,4,1,4,1,1,3,1,2,1,5,1,2,86
6/27/2025 12:05,6/27/2025 12:15,100,589,1,6/27/2025 12:15,1,2,2,2,1,2,2,4,20,4,2,3,2,3,3,3,5,5,2,1,5,3,3,6,1,4,1,1,90
6/27/2025 12:49,6/27/2025 12:55,100,363,1,6/27/2025 12:55,3,1,2,2,1,2,2,5,40,4,3,3,2,2,3,3,5,4,3,3,3,2,3,2,3,2,1,1,91
6/27/2025 11:54,6/27/2025 11:59,100,307,1,6/27/2025 11:59,4,1,2,2,1,2,2,5,30,4,2,3,2,2,2,3,5,4,5,2,5,2,1,1,2,2,1,1,93
6/28/2025 9:25,6/28/2025 9:30,100,311,1,6/28/2025 9:30,1,1,2,2,1,1,2,6,4,5,1,3,3,2,2,3,5,5,4,4,2,2,3,3,3,2,1,1,97
6/28/2025 9:55,6/28/2025 10:02,100,395,1,6/28/2025 10:02,1,2,2,2,1,2,1,4,28,3,1,4,3,2,2,3,3,5,3,3,4,2,2,5,2,4,1,1,98
6/27/2025 15:16,6/27/2025 15:22,100,364,1,6/27/2025 15:22,4,1,2,2,1,2,2,6,60,4,2,2,2,2,3,3,2,3,4,4,5,1,1,4,3,1,1,2,99
6/28/2025 17:10,6/28/2025 17:15,100,316,1,6/28/2025 17:15,2,2,2,2,1,2,2,6,28,4,2,4,3,3,2,3,4,5,1,1,1,2,3,6,1,3,1,1,100
6/27/2025 12:05,6/27/2025 12:13,100,469,1,6/27/2025 12:13,4,1,2,2,1,2,2,6,45,6,4,4,3,4,2,3,4,2,3,2,3,2,3,5,2,1,1,2,104
6/27/2025 11:55,6/27/2025 12:04,100,546,1,6/27/2025 12:04,3,2,2,2,5,2,4,5,140,4,2,5,2,3,3,3,2,2,3,2,2,3,1,2,3,4,3,4,105
6/27/2025 11:50,6/27/2025 11:55,100,266,1,6/27/2025 11:55,3,1,2,2,3,1,2,6,14,6,2,4,3,2,2,3,5,5,3,1,2,2,2,4,2,4,1,1,106
6/27/2025 11:57,6/27/2025 12:02,100,296,1,6/27/2025 12:02,3,1,2,2,1,2,3,4,30,4,2,4,2,3,3,3,1,1,4,5,5,2,1,6,1,5,1,2,107
6/27/2025 11:58,6/27/2025 12:07,100,497,1,6/27/2025 12:07,4,1,2,2,1,2,2,6,14,4,2,3,1,2,2,3,2,4,3,4,5,2,2,6,2,4,1,1,109
6/27/2025 19:31,6/27/2025 19:36,100,322,1,6/27/2025 19:36,2,2,2,1,1,2,2,2,20,1,1,2,2,2,2,3,2,4,2,3,2,2,2,2,2,4,1,2,111
6/27/2025 12:16,6/27/2025 12:21,100,298,1,6/27/2025 12:21,2,1,2,2,1,2,2,5,50,4,1,3,1,2,2,3,5,4,3,3,2,1,2,2,2,2,1,1,113
6/27/2025 12:13,6/27/2025 12:17,100,236,1,6/27/2025 12:17,4,1,2,2,3,2,2,4,18,1,2,4,3,2,2,3,4,4,3,3,4,2,1,5,2,2,1,1,115
6/27/2025 11:55,6/27/2025 11:58,100,186,1,6/27/2025 11:58,1,2,2,2,1,2,3,3,40,1,3,3,3,2,3,3,5,5,2,2,1,2,2,2,2,2,1,1,117
6/27/2025 12:07,6/27/2025 12:18,100,709,1,6/27/2025 12:18,3,1,2,2,3,2,2,6,45,5,1,4,1,1,1,3,4,4,3,3,2,1,2,6,2,1,2,4,118
6/27/2025 11:49,6/27/2025 11:53,100,233,1,6/27/2025 11:53,3,2,2,2,3,2,3,4,28,5,2,4,1,2,3,3,3,1,4,4,5,1,3,6,1,2,1,2,120
6/29/2025 22:07,6/29/2025 22:13,100,354,1,6/29/2025 22:13,5,1,2,2,3,2,2,6,10,6,2,4,1,2,3,3,5,3,3,3,2,1,3,2,2,2,1,2,121
6/27/2025 11:57,6/27/2025 12:05,100,463,1,6/27/2025 12:05,4,1,2,2,1,2,4,5,50,5,3,3,1,3,2,3,5,4,4,3,2,1,2,2,3,3,1,1,122
6/27/2025 12:19,6/27/2025 12:25,100,362,1,6/27/2025 12:25,3,1,2,2,3,2,2,6,30,3,2,4,2,2,1,3,5,4,4,2,4,1,2,2,1,3,1,2,123
6/27/2025 12:03,6/27/2025 12:17,100,837,1,6/27/2025 12:17,2,1,2,2,1,2,2,5,30,4,2,4,2,2,3,3,4,2,3,1,3,2,3,2,2,2,1,2,125
6/27/2025 13:37,6/27/2025 13:40,100,220,1,6/27/2025 13:40,3,1,2,2,1,2,2,5,20,5,1,4,3,2,2,3,4,4,5,3,2,2,2,6,1,3,1,1,126
6/27/2025 14:36,6/27/2025 14:44,100,445,1,6/27/2025 14:44,3,1,2,2,2,2,1,6,5,1,3,4,1,2,3,3,4,3,4,5,4,1,2,3,3,2,1,2,128
6/27/2025 12:46,6/27/2025 12:49,100,206,1,6/27/2025 12:49,3,1,2,2,1,2,3,3,10,1,3,5,2,3,2,3,5,5,2,2,3,2,3,5,1,3,3,4,129
6/27/2025 12:21,6/27/2025 12:29,100,505,1,6/27/2025 12:29,5,1,2,2,1,2,1,6,56,1,3,3,2,2,3,3,3,2,3,3,4,2,3,2,1,2,2,4,130
6/27/2025 15:01,6/27/2025 15:11,100,614,1,6/27/2025 15:11,4,1,1,2,3,2,2,5,30,2,1,5,1,2,3,3,3,4,3,4,4,2,3,2,4,1,1,2,133
6/27/2025 11:51,6/27/2025 11:58,100,416,1,6/27/2025 11:58,4,1,2,2,1,2,2,7,50,5,3,5,1,3,2,3,4,5,2,1,1,3,2,3,2,4,1,1,137
6/27/2025 12:02,6/27/2025 12:08,100,358,1,6/27/2025 12:08,2,2,2,2,2,2,2,6,18,4,2,4,2,2,2,3,5,5,2,1,2,2,3,3,1,5,2,4,138
6/27/2025 12:07,6/27/2025 12:14,100,376,1,6/27/2025 12:14,2,2,1,2,1,2,2,4,20,4,2,3,1,2,2,3,4,2,3,3,2,2,3,2,2,1,1,1,141
6/28/2025 11:11,6/28/2025 11:17,100,391,1,6/28/2025 11:17,3,3,2,2,5,2,3,3,25,4,3,5,2,3,3,3,4,5,4,1,3,2,3,1,2,5,2,4,142
6/27/2025 13:30,6/27/2025 13:37,100,431,1,6/27/2025 13:37,3,1,1,2,1,1,2,4,12,5,2,3,3,2,2,3,3,5,2,1,1,2,3,2,1,3,1,1,143
6/27/2025 13:05,6/27/2025 13:10,100,297,1,6/27/2025 13:10,5,1,2,2,1,2,1,4,15,1,3,3,2,3,3,3,2,1,4,5,2,2,3,5,2,1,1,2,144
6/27/2025 15:35,6/27/2025 15:39,100,224,1,6/27/2025 15:39,1,1,1,2,2,2,2,5,35,3,2,4,1,2,3,3,3,4,4,3,2,2,1,6,2,2,1,1,146
6/27/2025 12:05,6/27/2025 12:17,100,736,1,6/27/2025 12:17,1,2,2,2,1,1,1,5,28,3,2,4,2,2,2,3,5,4,5,3,2,1,3,6,2,3,1,2,147
6/27/2025 14:26,6/27/2025 14:31,100,259,1,6/27/2025 14:31,2,1,1,2,1,2,2,7,20,1,3,4,3,2,3,3,2,3,4,4,5,1,3,5,2,2,1,2,148
6/27/2025 14:27,6/27/2025 14:31,100,225,1,6/27/2025 14:31,4,1,2,2,1,2,2,5,7,1,2,3,2,2,2,3,4,4,2,2,1,2,2,2,3,2,1,1,149
6/27/2025 11:50,6/27/2025 12:05,100,891,1,6/27/2025 12:05,2,1,2,2,1,2,2,4,22,1,2,4,2,2,2,3,3,5,2,2,3,2,3,2,2,3,1,2,151
6/27/2025 12:05,6/27/2025 12:10,100,310,1,6/27/2025 12:10,5,1,2,2,1,2,2,6,60,5,1,3,2,2,3,3,1,1,4,5,5,2,3,2,2,3,1,2,152
6/28/2025 13:45,6/28/2025 13:54,100,505,1,6/28/2025 13:54,2,1,2,2,1,2,2,5,28,4,2,4,2,2,2,3,4,5,2,2,2,1,2,2,1,2,1,1,153
6/27/2025 11:51,6/27/2025 11:58,100,400,1,6/27/2025 11:58,2,1,2,2,1,2,3,5,35,4,1,4,2,3,3,3,5,4,1,3,2,1,3,4,2,4,2,4,155
6/27/2025 18:17,6/27/2025 18:25,100,466,1,6/27/2025 18:25,5,2,2,2,1,2,2,6,30,4,2,4,3,2,2,3,4,5,3,1,2,2,2,1,2,3,1,1,157
6/27/2025 11:53,6/27/2025 12:02,100,552,1,6/27/2025 12:02,3,1,2,2,3,2,3,7,50,4,3,4,3,2,3,3,3,4,5,3,2,2,2,2,1,4,1,1,158
6/27/2025 11:56,6/27/2025 12:02,100,327,1,6/27/2025 12:02,3,2,1,2,1,1,4,4,40,2,2,3,1,2,3,3,4,2,3,1,1,2,1,5,3,1,1,2,159
6/27/2025 22:00,6/27/2025 22:06,100,405,1,6/27/2025 22:06,4,2,2,2,1,2,2,6,35,5,2,4,1,2,2,3,4,2,4,2,2,2,2,5,3,2,1,1,160
6/27/2025 14:36,6/27/2025 14:54,100,1073,1,6/27/2025 14:54,3,1,2,2,1,2,2,4,28,4,1,4,1,2,3,3,4,2,3,4,4,1,2,3,2,1,1,1,161
6/30/2025 10:36,6/30/2025 10:41,100,284,1,6/30/2025 10:41,2,1,1,2,1,2,2,4,25,5,3,2,3,2,1,3,5,5,2,1,2,2,3,2,2,3,1,1,163
6/27/2025 12:49,6/27/2025 12:54,100,326,1,6/27/2025 12:54,4,1,2,2,1,2,2,2,30,1,3,2,2,3,2,3,1,2,3,1,3,3,1,2,2,4,1,1,164
6/27/2025 11:56,6/27/2025 12:01,100,310,1,6/27/2025 12:01,3,2,1,2,1,2,4,6,40,5,3,3,1,2,3,3,4,2,3,3,4,1,2,2,3,4,1,2,166
6/27/2025 12:03,6/27/2025 12:09,100,373,1,6/27/2025 12:09,1,1,2,1,1,1,2,4,25,3,2,2,3,2,2,3,2,3,3,5,3,2,3,4,2,3,1,2,168
6/30/2025 9:51,6/30/2025 9:56,100,315,1,6/30/2025 9:56,3,1,2,2,2,2,2,4,4,4,2,4,2,3,2,3,5,5,3,3,2,1,2,1,1,2,1,1,169
