StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,consent non_twins,consent twins,Q57,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,attitude_1,argument,new_att_1,i1_1,i1_2,i2_1,i2_2,i3_1,i3_2,a1_1,a2_1,a3_1,side1,side2,side3,side 2,absurd_1,absurd_2,absurd_3,s_1,s_2,s_3,FL_42_DO_FL_29,FL_42_DO_FL_43,FL_6_DO_FL_7,FL_6_DO_FL_8,FL_15_DO_FL_16,FL_15_DO_FL_17,FL_12_DO_FL_13,FL_12_DO_FL_14,FL_50_DO_FL_51,FL_50_DO_FL_52,FL_59_DO_FL_60,FL_59_DO_FL_61,FL_56_DO_FL_57,FL_56_DO_FL_58,Imagine1_DO_i1_2,Imagine1_DO_Q9,Imagine1_DO_Q8,Imagine1_DO_i1_1,Imagine2_DO_i2_2,Imagine2_DO_i2_1,Imagine2_DO_Q12,Imagine2_DO_Q11,Imagine3_DO_i3_1,Imagine3_DO_Q18,Imagine3_DO_Q17,Imagine3_DO_i3_2,TWIN_ID,
6/4/2025 18:18,6/4/2025 18:22,100,259,1,6/4/2025 18:22,4,,I will not use AI to answer this survey,0,0,19.06,0,80,"It has the potential to cause deficits in the national budget and some areas that are also of importance may suffer. For example, climate change and global warming could be reduced in order to meet the financial requirements of the Universal Basic Income. ",80,5,4,4,5,2,3,4,5,5,a bad idea,opposes,against,,A,B,A,control,control,control,,,1,,,1,1,,1,,1,,1,,2,1,,3,3,2,1,,2,1,,3,22,
6/4/2025 16:42,6/4/2025 16:44,100,132,1,6/4/2025 16:44,4,,I will not use AI to answer this survey,0,0,5.467,0,100,It could end up being abused and the money itself wasted.  It could also lead to more addiction issues which would lead to more crime.,100,7,7,1,7,4,3,5,5,5,a bad idea,opposes,against,,B,B,A,control,test,control,,,,1,,1,1,,1,,,1,1,,3,1,,2,2,3,,1,2,1,,3,23,
6/4/2025 18:11,6/4/2025 18:13,100,162,1,6/4/2025 18:13,4,,I will not use AI to answer this survey,7.338,14.125,15.068,5,80,"There is a few reasons, first of all it is a waste of American taxpayer money. It will also encourage unemployment",38,1,1,4,4,3,5,4,3,4,a bad idea,opposes,against,,B,B,A,control,control,control,,,,1,,1,1,,1,,1,,1,,2,1,,3,2,3,1,,3,1,,2,24,
6/4/2025 16:34,6/4/2025 16:39,100,269,1,6/4/2025 16:39,4,,i will not use ai to answer this survey,0,0,23.42,0,100,because it would be to costly and it would not work out well for everyone and it would be a nighmare for the goverment to try and do it so it would be nice it would not work for everyone and it would not be in everyoenes best internet,100,4,7,7,1,1,1,4,4,4,a bad idea,opposes,against,,B,A,A,control,test,test,,,,1,1,,1,,1,,,1,,1,2,1,,3,3,2,,1,3,,1,2,25,
6/5/2025 13:36,6/5/2025 13:40,100,203,1,6/5/2025 13:40,4,,I will not use AI to answer this survey,0,0,6.418,0,100,I can not think of a single reason why not to have Universal Basic Income. There is literally no downside to making sure people have enough money to survive. I wouldn't have to do surveys for tiny amounts of money if I had UBI.,100,1,1,7,1,1,1,1,1,4,a bad idea,opposes,against,,A,B,B,control,control,control,,,1,,,1,,1,1,,1,,1,,2,1,,3,3,2,1,,3,1,,2,32,
6/4/2025 17:10,6/4/2025 17:14,100,287,1,6/4/2025 17:14,4,,I will not use AI to answer this survey,1.875,26.808,29.933,3,0,"it could help people cover their basic needs if they lose their job or fall on hard times, giving them a little security while they figure things out",0,4,5,4,5,2,2,3,1,3,a good idea,supports,in support,,B,A,B,control,test,control,,,,1,1,,,1,1,,,1,1,,2,1,,3,2,3,,1,2,1,,3,34,
6/5/2025 8:20,6/5/2025 8:24,100,285,1,6/5/2025 8:24,4,,I will not use AI to answer this survey,0,0,13.675,0,15,"UBI could have one benefit in allowing mothers to stay at home with their children, particularly while they are young. It would also remove the encouragement of welfare to create ""single mothers"" who are only unmarried because they receive more welfare being single than being married. ",25,2,2,3,5,2,3,4,2,4,a good idea,supports,in support,,A,B,A,test,control,test,,,1,,,1,1,,,1,1,,,1,3,,1,2,2,3,1,,3,,1,2,35,
6/4/2025 20:08,6/4/2025 20:15,100,413,1,6/4/2025 20:15,4,,"I will not use AI to answer this survey""",0,0,12.372,0,84,"UBI is a good idea, it would create an fair standard of living for those who suffer from being below poverty level. My opposition to this, without having additional details, would behow to determine what a fair fixed amount would be. Our country is very large and diverse. The cost of living in one state is very different from another state. Living in California or New York, just as and example, costs far more than the cost of living in Arkansas or South Dakota. Who would determine what a fair standard of living would be? Would it require a national vote or would we simply toss numbers in a hat and some politician would pull out one of them and magically say it's a Universal basic income. Hmmmm.",80,7,6,1,7,1,4,6,4,1,a bad idea,opposes,against,,A,A,A,test,test,control,,,1,,1,,1,,,1,,1,1,,3,,1,2,3,2,,1,3,1,,2,36,
6/4/2025 16:43,6/4/2025 16:47,100,276,1,6/4/2025 16:47,4,,I will not use AI to answer this survey,0,0,51.443,0,0,"Everyone should have the same amount in life and this way, noone will go hungry. We can all buy what we want with what we are given, so one can't say we don't have freedom. We have freedom to buy whatever we want, and now I don't have to go-to work if I need a few weeks off because i'll get paid anyway. ",0,6,6,5,5,1,1,4,6,7,a good idea,supports,in support,,A,A,A,test,control,control,,,1,,1,,1,,,1,1,,1,,2,,1,3,3,2,1,,2,1,,3,39,
6/4/2025 17:37,6/4/2025 17:43,100,348,1,6/4/2025 17:43,4,,I will not use AI to answer this survey,0,0,17.878,0,21,"I worked very hard in school getting my education.  I have worked hard to climb the ladder and make myself better.  I feel I deserve what I earn, and I dont think it is fair that someone gets living wage for sitting on the couch.",20,6,6,3,4,5,5,7,5,5,a good idea,supports,in support,,B,B,A,test,test,test,,,,1,,1,1,,,1,,1,,1,2,,1,3,2,3,,1,3,,1,2,40,
6/5/2025 9:16,6/5/2025 9:43,100,1611,1,6/5/2025 9:43,4,,I will not use AI to answer this survey,270.664,270.664,272.679,1,27,"One strong argument is that that UBI could provide a safety net for people in unstable job markets, especially as AI will eventually reduce the number of jobs. It would help all citizens taking a step to meeting their basic needs.",29,7,7,6,6,3,3,3,5,4,a good idea,supports,in support,,A,A,A,control,control,control,,,1,,1,,1,,1,,1,,1,,2,1,,3,3,2,1,,2,1,,3,41,
6/4/2025 22:03,6/4/2025 22:07,100,211,1,6/4/2025 22:07,4,,i will not use ai to answer this survey,0,0,18.405,0,70,"Implementing UBI could encourage employers to reduce the wage they pay to workers so that they are no better off, and at the same time would be just a subsidy for corporations.",65,6,5,7,5,1,1,2,5,4,a bad idea,opposes,against,,B,A,B,test,test,control,,,,1,1,,,1,,1,,1,1,,3,,1,2,2,3,,1,3,1,,2,42,
6/6/2025 16:30,6/6/2025 16:34,100,208,1,6/6/2025 16:34,4,,I will not use AI to answer this survey,0,0,13.593,0,50,It will keep everything in order and prevent us from handling the debt that the US owes. Making sure that we all equally grow as a country.,100,5,4,4,5,5,5,4,5,5,a bad idea,opposes,against,,B,A,A,test,test,control,,1,,1,1,,1,,,1,,1,1,,3,,1,2,3,2,,1,2,1,,3,43,
6/4/2025 16:58,6/4/2025 17:03,100,291,1,6/4/2025 17:03,4,,I will not use AI to answer this survey,0,0,18.271,0,70,"UBI is expensive and the US government is always trying to find ways to cut spending.  It's uncertain if UBI can be feasible long-term because of how expensive it is.  AI will also take away millions of jobs, and those millions of unemployed people will be on UBI, making it even more expensive.",70,4,4,1,1,5,5,3,1,1,a bad idea,opposes,against,,A,A,B,test,control,test,,,1,,1,,,1,,1,1,,,1,3,,1,2,3,2,1,,2,,1,3,46,
6/4/2025 16:58,6/4/2025 17:01,100,167,1,6/4/2025 17:01,4,,I will not use AI to answer this survey,0,0,5.536,0,3,Everyone has enough to eat just a little bit. There will be more money pumped into the economy and people may be happier. ,0,2,4,3,6,2,1,4,1,1,a good idea,supports,in support,,A,A,B,control,test,test,,,1,,1,,,1,1,,,1,,1,2,1,,3,2,3,,1,3,,1,2,47,
6/5/2025 9:17,6/5/2025 9:22,100,274,1,6/5/2025 9:22,4,,I will not use AI to answer this survey,0,0,19.579,0,50,It would allow countless Americans to have access to basic needs that they otherwise may not have access to. Give them a foundation to begin building better lives for themselves.,50,4,4,6,5,2,3,1,3,4,a good idea,,in support,supports,B,A,B,test,test,test,1,,,1,1,,,1,,1,,1,,1,2,,1,3,3,2,,1,2,,1,3,49,
6/5/2025 8:03,6/5/2025 8:09,100,347,1,6/5/2025 8:09,4,,I will not use AI to answer this survey,0,0,5.931,0,66,People will become dependent on the money they get and some will not contribute to society at all. Sometimes getting free money makes people lazy and they tend not to do as much or work hard at their jobs,56,5,5,6,5,4,4,5,6,6,a bad idea,opposes,against,,B,A,A,test,control,test,,,,1,1,,1,,,1,1,,,1,2,,1,3,3,2,1,,2,,1,3,51,
6/6/2025 8:10,6/6/2025 8:14,100,219,1,6/6/2025 8:14,4,,I will not use AI to answer this survey,13.192,13.192,15.766,1,80,"I would assume that an argument against UBI would be that it incentivizes people to not work and not contribute to society. Without contribution, the tax burden on working people increases.",80,5,5,4,5,2,1,1,1,1,a bad idea,opposes,against,,B,B,A,test,test,control,,,,1,,1,1,,,1,,1,1,,3,,1,2,3,2,,1,2,1,,3,52,
6/4/2025 16:48,6/4/2025 16:51,100,192,1,6/4/2025 16:51,4,,I will not use AI to answer this survey,0,0,17.102,0,43,"If there would be UBI in the US, then all the panhandlers could be told to ""get the heck off the sidewalk"".  All the homeless sleeping on public property could also be forced to pay for lodging (or sent to jail).",44,3,3,2,4,2,1,4,1,4,a good idea,supports,in support,,B,A,A,control,test,test,,,,1,1,,1,,1,,,1,,1,3,1,,2,3,2,,1,2,,1,3,53,
