StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,CONSENT,prod_choice,prod_choice_DO_1,prod_choice_DO_2,prod_choice_DO_3,prod_choice_DO_4,prod_choice_DO_5,prod_choice_DO_6,t_scen2_First Click,t_scen2_Last Click,t_scen2_Page Submit,t_scen2_Click Count,NFT + NonExcl,noNFT + NonExcl,t_write_First Click,t_write_Last Click,t_write_Page Submit,t_write_Click Count,DV1_1,DV1_2,DV1_3,DV1_DO_1,DV1_DO_2,DV1_DO_3,WTP,Open,fami_NFT,effort,own,test,item,FL_9_DO_FL_10,FL_9_DO_FL_11,FL_86_DO_DV(s),FL_86_DO_WTP,TWIN_ID,
6/12/2025 11:58,6/12/2025 12:01,100,158,1,6/12/2025 12:01,4,4,1,5,6,3,4,2,0,0,10.965,0,,I would fee average.  I would feel this sweater is not exclusive.,7.494,7.494,38.298,1,6,6,6,3,2,1,500,Image to others perception.,4,2,0,1,0,1,,1,2,16,
6/12/2025 13:09,6/12/2025 13:11,100,118,1,6/12/2025 13:11,4,6,4,1,2,6,5,3,0,0,13.591,0,,"I wouldn't really be happy that many others were wearing same ting. I would feel cheated, and NOT great.",0.992,0.992,36.091,1,6,5,5,3,1,2,99,"I was thinking how well made it was, and how stylish it was.",1,3,0,1,0,1,,1,2,18,
6/12/2025 10:14,6/12/2025 10:17,100,205,1,6/12/2025 10:17,4,6,3,2,4,1,5,6,0,0,25.966,0,I don't feel this sweater is so special anymore if so many people are wearing it. ,,7.172,7.172,41.171,1,6,6,6,1,2,3,375,I spent a lot of money for the sweater so I know it is high status. ,4,1,1,1,1,,1,2,1,21,
6/12/2025 10:11,6/12/2025 10:16,100,328,1,6/12/2025 10:16,4,3,1,2,4,5,3,6,0,0,12.336,0,,"I would look cute, casual, and comfy. I would feel like I am being true to myself because it would be something I would wear to feel comfortable and playful. I would think that the others that chose to wear the same item might feel similar to me or they just like luxury fashion. ",0.991,0.991,116.277,1,5,4,4,2,3,1,75,I don't think the sweater in and of itself would present as prestigious or hight status but luxury can be weird sometimes. I find that luxury brands sometimes don't follow the trends but make the trends. I mean envy works right. ,3,3,1,1,0,1,,2,1,22,
6/12/2025 10:17,6/12/2025 10:21,100,185,1,6/12/2025 10:21,4,4,6,3,1,4,5,2,5.537,5.537,16.318,1,I make the sweater look really good.  I would enjoy showing it off until I notice that other people are wearing the same sweater.,,10.433,10.433,74.475,1,6,6,6,3,1,2,300,Because they are hand made with special materials.,4,5,0,1,1,,1,1,2,23,
6/12/2025 13:08,6/12/2025 13:11,100,193,1,6/12/2025 13:11,4,2,6,2,4,1,3,5,0,0,29.708,0,I feel really stupid for paying this much for a sweater just because it's got some sort of crypto backing.,,20.028,20.028,45.188,1,1,1,1,3,2,1,1000,"I think what we don't need right now, considering everything that's going on, it trying to make owning clothes the same as NFTs.",7,1,0,1,1,,1,2,1,32,
6/12/2025 10:27,6/12/2025 10:29,100,134,1,6/12/2025 10:29,4,1,3,1,4,5,2,6,0,0,27.434,0,,I would feel great and I would be happy that so many other people liked the same sweater.,10.891,10.891,27.622,1,5,5,5,1,2,3,125,I thought the sweater would be expensive but not outside of my budget.,3,3,1,1,0,1,,1,2,38,
6/12/2025 10:18,6/12/2025 10:21,100,193,1,6/12/2025 10:21,4,6,5,6,4,2,1,3,0,0,11.433,0,,"I would definitely be excited at first, as it would be amusing. It would also break the ice and make the night fun with meeting new people, as if we were in a 'club'.",1.649,1.649,46.17,1,7,7,7,3,1,2,2500,"I was mostly thinking of the cost, and the trendy skinny guy model wearing it for an ad. ",4,1,0,1,0,1,,2,1,39,
6/12/2025 10:15,6/12/2025 10:18,100,158,1,6/12/2025 10:18,4,4,3,5,4,1,6,2,0,0,11.012,0,"The night was full of fun and friends.  It was a casual night but I decided to wear my new sweater.  The dinner was great, conversation was great and I did receive several compliments on my new sweater.  ",,0.805,64.287,66.344,2,6,6,5,1,2,3,150,I like how it makes me feel.  Like I have accomplished something in life to have such a luxurious item.,3,2,1,1,1,,1,2,1,40,
6/12/2025 10:17,6/12/2025 10:24,100,448,1,6/12/2025 10:24,4,3,2,3,5,1,6,4,0,0,16.217,0,"When I start noticing other people wearing the same one, I’d feel a mix of things. On one hand, flattered -  I must have good taste since others seem to agree. But also a little disappointed that I’m not the only one standing out. It almost makes it feel less luxury. However knowing my sweater has a digital ID and passport tied to my ownership makes it feel more personal, like it’s mine in a way theirs isn’t.",,20.131,173.305,176.692,18,4,4,4,1,3,2,200,"When I picked 4 for luxury/status/prestige, I was thinking that while the sweater feels elevated, especially with the added digital passport that gives it a sense of exclusivity, it’s still clearly accessible if multiple people are wearing it. It’s not ultra-exclusive or high fashion runway level, but still luxe. As for the $200 price point, that feels realistic for a stylish sweater from a mid luxury brand - expensive enough to signal good quality, but not so high that it feels unattainable, which is clearly isnt. ",1,3,1,1,1,,1,1,2,41,
6/12/2025 11:42,6/12/2025 11:46,100,266,1,6/12/2025 11:46,4,5,4,1,6,5,2,3,6.182,6.182,12.461,1,,"I will have the outfit, but when I realize other people have the same fit, I will feel mad because everyone is wearing the same fit and would want to go home",4.503,72.756,74.271,7,5,4,4,2,1,3,100,"I was thinking a designer made the sweater with a design from the 80s, similar to what doctors would wear.",4,2,1,1,0,1,,2,1,43,
6/12/2025 10:28,6/12/2025 10:32,100,210,1,6/12/2025 10:32,4,4,4,3,6,2,5,1,0,0,11.243,0,,I would feel very well dressed and feel that I am a very wealthy person with a very big ego.,1.55,77.125,77.697,5,6,6,6,1,2,3,225,I was thinking about the style of sweater and the brass buttons and that it was a very high end sweater.,5,2,1,1,0,1,,2,1,45,
6/12/2025 10:15,6/12/2025 10:18,100,225,1,6/12/2025 10:18,4,6,5,2,1,3,6,4,0,0,12.071,0,,I would look ordinary.  I would look just like everyone else.  I would feel normal and average.  I'm glad that nobody would be looking at me because of the clothes I'm wearing.,1.637,1.637,59.336,1,1,1,1,1,3,2,100,"I think luxury brands are a waste of money.  They are produced in the same way as any other clothing, using sweatshops and child labor.",1,3,0,1,0,1,,1,2,46,
6/12/2025 10:20,6/12/2025 10:22,100,147,1,6/12/2025 10:22,4,6,2,5,6,4,1,3,0,0,12.824,0,I would feel very confident around people. They would see me as high c lass and having a good career.,,0,0,49.87,0,6,6,6,3,1,2,79,I thought the sweater is of high quality and flashy and preppy,1,1,1,1,1,,1,2,1,47,
6/12/2025 10:36,6/12/2025 10:41,100,275,1,6/12/2025 10:41,4,1,2,5,1,6,3,4,0,0,16.379,0,"I feel like I would look very smart in my luxury sweater, and it wouldn't matter to me that many other people were wearing the same.  If I feel good in something I am wearing, I am more comfortable in my skin and tend to have a better experience being out.",,23.244,23.244,98.399,1,5,3,3,1,2,3,150,"Thinking of many people wearing the same sweater makes me think it is easily accessible.  That might make me devalue it.  But in today's day and age, almost anything is easily accessible and if I loved it and felt good in it, it wouldn't matter.",1,3,1,1,1,,1,1,2,50,
6/12/2025 10:13,6/12/2025 10:17,100,224,1,6/12/2025 10:17,4,1,5,4,3,6,1,2,11.465,11.465,18.973,1,I would not feel unique because many others have the same sweater. Having a digital ID will not change that fact.,,1.115,62.227,77.296,8,5,5,5,1,3,2,75,How exclusive it was. If many were wearing it then it would not be as prestigious,2,2,0,1,1,,1,2,1,51,
6/12/2025 11:08,6/12/2025 11:16,100,455,1,6/12/2025 11:16,4,3,5,6,3,2,4,1,0,0,10.999,0,,"I would wear this out in the Fall or Spring when the weather has a chill to it. I would style it with fashionable pants or jeans. I would feel confident wearing this sweater, however after seeing many other people wearing the exact same sweater, I would feel a bit self-conscious.",6.416,73.694,79.91,4,6,4,4,1,3,2,150,"If so many people have this sweater, I would expect the luxury sweater to be a bit lower price than high-end designers. ",4,1,1,1,0,1,,1,2,52,
6/12/2025 10:11,6/12/2025 10:15,100,229,1,6/12/2025 10:15,4,6,2,5,4,6,1,3,0,0,11.49,0,,"I didn't buy the sweater to be a fashion guru, I bought it because I want to stay warm in a nondescript green sweater.  Having a high neckline isn't good but that was the only choice.  I don't care what other people are wearing, if they have the same sweater, no prob.",1.771,1.771,88.582,1,2,1,1,1,2,3,125,"If everyone has it, it's certainly not a status piece, unless Walmart now sells handmade woolens.",1,2,0,1,0,1,,1,2,53,
6/12/2025 10:25,6/12/2025 10:35,100,646,1,6/12/2025 10:35,4,6,6,1,4,5,2,3,0,0,11.365,0,,"I would feel stylish and dapper but with everyone else having the same sweater on, it would dampen my spirits somewhat. ",7.113,7.113,58.736,1,5,5,5,3,1,2,80,I was thinking about the color and the buttons (size and pattern location of them).,2,4,0,1,0,1,,2,1,54,
6/12/2025 10:14,6/12/2025 10:32,100,1071,1,6/12/2025 10:32,4,1,5,1,4,3,6,2,0.806,24.627,25.145,13,I will feel disappointed in the first place but would feel among at the later time.,,0.809,522.298,523.013,53,7,5,7,3,1,2,250,I was thinking about the quality of the sweater and people's perception of it.,5,1,1,1,1,,1,2,1,57,
6/12/2025 10:43,6/12/2025 10:48,100,322,1,6/12/2025 10:48,4,1,4,1,2,5,3,6,0,0,11.221,0,,"If we were all wearing the same exact sweater I would probably remove mine (given the circumstances were acceptable). I don't typically dress to stand out, but I would probably be a little self conscious that we've all got matching outfits on, I'd feel like we all stand out that way so I'd rather just remove mine.",5.169,83.552,121.189,5,5,4,2,3,1,2,150,"If there are multiple random people wearing it it's likely not all that prestigious, but may still be luxury. When I think of ""high status"" I think of something more unique/exclusive.",4,2,1,1,0,1,,1,2,59,
6/12/2025 10:59,6/12/2025 11:07,100,463,1,6/12/2025 11:07,4,4,6,5,1,3,4,2,0,0,13.355,0,,I would feel pretty good knowing that many people had the same taste it sweaters that I did. I wouldn't have to worry that people didn't like my taste in sweaters. I would think I look prett cool with my new sweater and I would feel very comfortable wearing it..,23.465,23.465,185.471,1,6,6,6,3,2,1,149,I was thinking this sweater was a high quality brand name sweater.,1,1,0,1,0,1,,1,2,60,
6/12/2025 10:45,6/12/2025 10:49,100,226,1,6/12/2025 10:49,4,4,3,5,6,1,4,2,0.878,11.189,12.573,11,,Silly. I would want to change ,0.847,28.244,29.038,10,6,5,5,1,2,3,125,"The quality, the brand, the fit",4,3,0,1,0,1,,2,1,61,
6/12/2025 12:00,6/12/2025 12:03,100,172,1,6/12/2025 12:03,4,3,1,3,4,2,5,6,0,0,10.9,0,,I would still feel good.  If other people are wearing it they must have thought it was pretty too.,2.255,21.886,48.702,2,5,5,5,1,2,3,20,How much I would generally spend for a sweater.  I would not spend a lot of money on clothes.,4,2,0,1,0,1,,2,1,63,
6/12/2025 10:12,6/12/2025 10:18,100,332,1,6/12/2025 10:18,4,3,3,6,5,1,2,4,0,0,115.602,0,,"I would look fabulous and chic.  However, I would be embarrassed if a lot of other people wore it too.",2.062,46.17,49.361,4,6,2,4,1,3,2,500,I was thinking about a high-end product that is very well maid.  It would be a piece I would wear to special events.,2,1,1,1,0,1,,1,2,65,
6/12/2025 10:17,6/12/2025 10:22,100,275,1,6/12/2025 10:22,4,4,5,2,4,3,6,1,0,0,16.287,0,,"I would feel put together and excited putting on my sweater for my night out.  it would be one of my prized pieces, and I would be proud to be wearing it.  I would probably pair it with dark gray jeans, and brown boots.  if I noticed other people wearing it, I wouldnt' be intimidated.  I would count it as I was on the right track in terms of what is in fashion",4.804,4.804,113.051,1,6,6,6,1,2,3,300,I was thinking of the material as well as the buttons that accented the sweater,5,1,1,1,0,1,,1,2,66,
6/12/2025 11:21,6/12/2025 11:24,100,191,1,6/12/2025 11:24,4,1,5,4,1,2,3,6,0,0,11.091,0,,I would be wearing this with some nice jeans. I wouldn't feel bad at all wearing this while a lot of others are wearing it. It's a nice looking sweater and I just care that I like how it looks on me.,1.131,1.131,46.215,1,6,4,4,1,3,2,100,"It doesn't seem prestigious or high status based on how many people were wearing it, but it's still luxurious, that's independent of the other two.",2,1,0,1,0,1,,1,2,67,
6/12/2025 11:50,6/12/2025 11:56,100,374,1,6/12/2025 11:57,4,4,5,4,3,2,1,6,11.707,11.707,13.552,1,,Very cheek and classic,123.244,123.244,140.587,1,6,7,7,3,2,1,150,The beauty of it,7,5,1,1,0,1,,1,2,68,
6/12/2025 10:15,6/12/2025 10:20,100,272,1,6/12/2025 10:20,4,1,6,1,2,5,3,4,0,0,11.47,0,,I'd have to laugh if I showed up somewhere and many others were wearing the same sweater. I would probably try pushing the sleeves up higher to change the look along with unbuttoning a couple buttons. I may even leave early if it gets uncomfortable. ,15.607,15.607,130.671,1,6,6,4,1,2,3,125,Many others had the same thing so it wasn't that exclusive. ,1,1,0,1,0,1,,1,2,70,
6/12/2025 10:27,6/12/2025 10:32,100,266,1,6/12/2025 10:32,4,6,6,3,1,2,4,5,7.359,7.359,10.9,1,,I feel a bit preppy and sporty. I feel confident in my sweater. Others dressed the same as me doesn't bother me.,4.093,66.704,78.653,7,6,5,5,3,2,1,300,I was thinking about how  many people owned the sweater and how rare it would to see multiple people at the same time wearing it,5,2,1,1,0,1,,1,2,72,
6/12/2025 10:16,6/12/2025 10:21,100,324,1,6/12/2025 10:21,4,6,3,5,4,6,1,2,0,0,31.595,0,"I believe I would look good in the sweater and feel good about wearing it. I suppose it would feel less unique because others were wearing it, but I don't particularly care about things like that. ",,1.316,79.096,81.135,8,5,5,5,3,1,2,180,"It was described as a luxury sweater, so I assume that it's luxurious and expensive. Expensive luxury items tend to come with some level of status and prestige, and I think this item would be no different. ",3,2,0,1,1,,1,2,1,73,
6/12/2025 10:22,6/12/2025 10:26,100,231,1,6/12/2025 10:26,4,5,6,4,2,5,1,3,0,0,39.363,0,I would look fabulous in the luxury sweater.I would feel like a million dollars.,,15.726,15.726,70.489,1,6,6,6,3,1,2,1000,Something very stylish because it is luxurious.,5,2,0,1,1,,1,1,2,75,
6/12/2025 10:45,6/12/2025 10:48,100,212,1,6/12/2025 10:48,4,5,5,6,1,3,4,2,0,0,11.509,0,,During my night out I would feel quite warm and cozy in my luxury sweater,1.494,1.494,47.687,1,4,4,4,2,3,1,125,I was thinking if I spent this kind of money for a high end sweater it would need to be something i would get sufficient wear out of worth the  money ,1,4,0,1,0,1,,1,2,76,
6/12/2025 10:17,6/12/2025 10:21,100,233,1,6/12/2025 10:21,4,4,6,4,2,3,5,1,0,0,24.928,0,"It looks sharp and is a good fit. I would feel confident wearing such a nice sweater in a public place, but I would wonder how exclusive it is if a bunch of other people are wearing the same sweater. ",,33.126,33.157,86.478,2,6,5,5,2,3,1,275,"To be those things, it must have a high price. ",1,3,1,1,1,,1,1,2,79,
6/12/2025 10:19,6/12/2025 10:24,100,310,1,6/12/2025 10:24,4,6,6,5,4,2,1,3,0,0,11.203,0,,I'd be kind of embarrassed and think about taking the sweater of and just wearing a shirt.  I'd basically look like a trained monkey.,1.64,85.765,109.747,9,3,1,1,3,1,2,90,"If that many people can afford it it can't be all that luxurious, unless I'm in a room full of billionaires.",1,3,0,1,0,1,,2,1,80,
6/12/2025 10:13,6/12/2025 10:21,100,509,1,6/12/2025 10:21,4,6,6,3,1,2,4,5,29.124,29.901,31.16,2,"I would look quite handsome in my new sweater.  It feels very comfortable, yet lends a n air of sophistication to my night out.  It also is slightly annoying to find out the sweater is so popular since it diminishes the uniqueness of my personal style.",,20.066,229.07,285.755,3,6,5,5,3,1,2,225,I though about how common it was to see other people wearing it.  I also considered the expense of providing the sweater with a digital pedigree.,3,2,0,1,1,,1,2,1,81,
6/12/2025 14:17,6/12/2025 14:21,100,282,1,6/12/2025 14:21,4,4,3,6,5,1,4,2,0,0,21.694,0,I do not go out often so this must be a special occasion.  The sweater is a beautiful piece but most importantly is also comfortable and makes me feel secure.  I don't care how I look but I do care that I feel confident in the sweater. ,,12.125,12.125,90.845,1,6,5,5,2,3,1,600,That if I can afford it it isn't that high status.  But that it would be nice to have such a piece in my closet especially if it were made of alpaca wool.  ,2,1,1,1,1,,1,1,2,84,
6/12/2025 10:11,6/12/2025 10:14,100,170,1,6/12/2025 10:14,4,1,6,2,1,5,3,4,0,0,11.144,0,,This would be a good sweater on a cool fall evening.  I would wear it with dark jeans and fell stylish!,1.497,1.497,29.958,1,5,5,5,3,1,2,75,"I would think it would be a high quality, well- made sweater that was fairly prestigious.",3,1,1,1,0,1,,2,1,85,
6/12/2025 11:42,6/12/2025 11:48,100,358,1,6/12/2025 11:48,4,3,3,1,6,2,4,5,0,0,19.975,0,"Regardless of how many other people may be wearing the same thing, it wouldn't detract from my enjoyment of wearing that sweater.",,16.655,16.655,52.341,1,1,1,1,2,1,3,60,"There really wasn't much thought behind it, I was just guessing",1,2,1,1,1,,1,2,1,86,
6/12/2025 10:45,6/12/2025 10:51,100,359,1,6/12/2025 10:51,4,3,6,4,5,3,1,2,0,0,25.177,0,I am at a restaurant in a classy part of town. I feel great in my new sweater until I see others wearing the same thing. Then I feel pissed!,,24.215,30.845,91.739,2,3,3,3,1,3,2,100,I thought I would enjoy wearing and looking great in this sweater.,1,5,0,1,1,,1,1,2,89,
6/12/2025 10:38,6/12/2025 10:44,100,385,1,6/12/2025 10:44,4,1,3,5,1,2,4,6,0,0,11.751,0,I must be really hot because it's a high neck sweater for men so it probably is oversized and hardly fits me. I imagine I would feel...like I'm wearing too much clothing. ,,13.472,46.278,70.422,3,3,4,4,1,2,3,500,"What other people think, not what I think. I've seen 500 dollar sweaters where all you're paying for is the label",3,4,0,1,1,,1,2,1,90,
6/12/2025 10:14,6/12/2025 10:19,100,317,1,6/12/2025 10:19,4,1,3,4,5,6,1,2,0,0,26.17,0,"The digital ID feels irrelevant while I'm out at night. Nobody else can see that my sweater is unique. All they see is that my sweater looks exactly like everybody else's, so I look generic and bland. I'm also wondering if everyone else also has a unique digital ID or if they just have a cheap knockoff.",,22.13,22.13,133.978,1,6,6,6,1,3,2,125,Regular clothes don't have digital tracking because those consumers don't care as much about authenticity and proof of uniqueness. This must be fairly high-end.,5,2,1,1,1,,1,2,1,93,
